,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Cox7a2,-0.016196512,,,0.6016104107267053,0.9995071032895373,,-0.016196512
Akap13,-0.17141084,,,0.601492590692817,0.9995071032895373,,-0.17141084
Chac2,-0.2884823,,,0.601256981866053,0.9995071032895373,,-0.2884823
Pcnx,-0.122414276,,,0.6010214147103243,0.9995071032895373,,-0.122414276
Fam173b,-0.22085899,,,0.6009036467652276,0.9995071032895373,,-0.22085899
2310035C23Rik,-0.18885784,,,0.599961878714142,0.9995071032895373,,-0.18885784
Plod3,-0.2518683,,,0.5998442046831661,0.9995071032895373,,-0.2518683
Poldip3,-0.11001852,,,0.5998442046831661,0.9995071032895373,,-0.11001852
Naa30,-0.2678002,,,0.5994912452827725,0.9995071032895373,,-0.2678002
Cebpzos,-0.087498866,,,0.5994912452827725,0.9995071032895373,,-0.087498866
Fam208a,-0.21431233,,,0.5983153938572106,0.9995071032895373,,-0.21431233
Adrbk2,-0.20152187,,,0.5983153938572106,0.9995071032895373,,-0.20152187
Mical3,-0.19954944,,,0.5981978663079568,0.9995071032895373,,-0.19954944
Tollip,-0.1705961,,,0.5981978663079568,0.9995071032895373,,-0.1705961
Aars,-0.12628204,,,0.5977278609476722,0.9995071032895373,,-0.12628204
Slc4a7,-0.15190604,,,0.5977278609476722,0.9995071032895373,,-0.15190604
Fadd,-0.30997616,,,0.5977278609476722,0.9995071032895373,,-0.30997616
Cacul1,-0.26353395,,,0.5974929212035778,0.9995071032895373,,-0.26353395
Med22,-0.32076538,,,0.5971405903121072,0.9995071032895373,,-0.32076538
Caprin1,-0.1185746,,,0.5967883539484362,0.9995071032895373,,-0.1185746
Kdm5b,-0.10309398,,,0.5965535822537356,0.9995071032895373,,-0.10309398
5031439G07Rik,-0.22506611,,,0.5965535822537356,0.9995071032895373,,-0.22506611
Sqle,-0.15174106,,,0.5962015035817133,0.9995071032895373,,-0.15174106
Sh3d19,-0.12683317,,,0.5956149162762714,0.9995071032895373,,-0.12683317
Spa17,-0.35925856,,,0.595497630409112,0.9995071032895373,,-0.35925856
Ypel3,-0.05599023,,,0.5953803550788936,0.9995071032895373,,-0.05599023
Tfam,-0.14951733,,,0.5952630902880284,0.9995071032895373,,-0.14951733
Mlx,-0.15293853,,,0.5949113591756561,0.9995071032895373,,-0.15293853
Cryl1,-0.23486179,,,0.5947941365663043,0.9995071032895373,,-0.23486179
Styk1,-0.12091013,,,0.5947941365663043,0.9995071032895373,,-0.12091013
Zdhhc12,-0.15081707,,,0.5945597230042072,0.9995071032895373,,-0.15081707
B2m,-0.071285285,,,0.5945597230042072,0.9995071032895373,,-0.071285285
Cbr1,-0.12278671,,,0.594091022573803,0.9995071032895373,,-0.12278671
Gm609,-0.12438483,,,0.5937396081837865,0.9995071032895373,,-0.12438483
Pbx1,-0.06714,,,0.5937396081837865,0.9995071032895373,,-0.06714
Neu1,-0.09754656,,,0.5936224911966451,0.9995071032895373,,-0.09754656
2610035D17Rik,-0.21840999,,,0.5935053847849356,0.9995071032895373,,-0.21840999
Usp3,-0.10935135,,,0.5932712036974064,0.9995071032895373,,-0.10935135
Gpatch2,-0.33054665,,,0.5932712036974064,0.9995071032895373,,-0.33054665
Pak4,-0.29272428,,,0.5930370649403782,0.9995071032895373,,-0.29272428
Akt1s1,-0.1096767,,,0.5926859362164489,0.9995071032895373,,-0.1096767
Vps26b,-0.20894378,,,0.5918670067831224,0.9995071032895373,,-0.20894378
Cwc25,-0.27038804,,,0.5917500592902737,0.9995071032895373,,-0.27038804
Myo10,-0.18413939,,,0.5912823754798513,0.9995071032895373,,-0.18413939
Lap3,-0.053441428,,,0.5911654810794102,0.9995071032895373,,-0.053441428
Ube4b,-0.21621734,,,0.5909317241578043,0.9995071032895373,,-0.21621734
Mterf3,-0.2753194,,,0.5908148616414011,0.9995071032895373,,-0.2753194
Sgsm3,-0.12918568,,,0.5903475179273057,0.9995071032895373,,-0.12918568
S100a10,-0.25285295,,,0.5903475179273057,0.9995071032895373,,-0.25285295
Grcc10,-0.09208617,,,0.5899971218773903,0.9995071032895373,,-0.09208617
Tnfrsf1a,-0.3194722,,,0.5899971218773903,0.9995071032895373,,-0.3194722
Smim19,-0.20532599,,,0.5885964967646098,0.9995071032895373,,-0.20532599
Pde2a,-0.40569547,,,0.5883632086250294,0.9995071032895373,,-0.40569547
Hspa13,-0.16420342,,,0.5880133565407372,0.9995071032895373,,-0.16420342
Uaca,-0.29418254,,,0.5875470367609591,0.9995071032895373,,-0.29418254
Odf2l,-0.31314704,,,0.5874304835577978,0.9995071032895373,,-0.31314704
Elf4,-0.34434894,,,0.5870808881662888,0.9995071032895373,,-0.34434894
Arhgap5,-0.09794481,,,0.5869643777829576,0.9995071032895373,,-0.09794481
Exosc9,-0.1578197,,,0.5869643777829576,0.9995071032895373,,-0.1578197
Uros,-0.28031173,,,0.5866149109074141,0.9995071032895373,,-0.28031173
Zfp687,-0.2958287,,,0.5866149109074141,0.9995071032895373,,-0.2958287
Mapk13,-0.081695996,,,0.5863819865759321,0.9995071032895373,,-0.081695996
Vcpkmt,-0.32956722,,,0.586149105134811,0.9995071032895373,,-0.32956722
Pdcd2l,-0.20454943,,,0.5860326805040037,0.9995071032895373,,-0.20454943
Smpd2,-0.22222003,,,0.585799863433625,0.9995071032895373,,-0.22222003
Phgr1,-0.19997416,,,0.5856834709987425,0.9995071032895373,,-0.19997416
Irf2,-0.11911642,,,0.5856834709987425,0.9995071032895373,,-0.11911642
Kdf1,-0.1664582,,,0.5855670893005227,0.9995071032895373,,-0.1664582
Ints12,-0.31245837,,,0.5852180086492597,0.9995071032895373,,-0.31245837
C1galt1,-0.11534553,,,0.5849853419413202,0.9995071032895373,,-0.11534553
Ogfr,-0.115816236,,,0.5846364225155398,0.9995071032895373,,-0.115816236
Ccdc90b,-0.13790174,,,0.5842875999091882,0.9995071032895373,,-0.13790174
Gpr89,-0.26986277,,,0.5838226538176368,0.9995071032895373,,-0.26986277
Slk,-0.16622749,,,0.5834740573682542,0.9995071032895373,,-0.16622749
E330009J07Rik,-0.13585967,,,0.5834740573682542,0.9995071032895373,,-0.13585967
Rab27b,-0.3410063,,,0.5831255579481112,0.9995071032895373,,-0.3410063
Tmub2,-0.23930912,,,0.5828932789374958,0.9995071032895373,,-0.23930912
Ppp1cc,-0.09464227,,,0.5828932789374958,0.9995071032895373,,-0.09464227
Dyrk1a,-0.20046614,,,0.5827771556200045,0.9995071032895373,,-0.20046614
Lyar,-0.15595469,,,0.5826610430974879,0.9995071032895373,,-0.15595469
Rita1,-0.38196146,,,0.582428850446664,0.9995071032895373,,-0.38196146
Acadsb,-0.151483,,,0.5821967010035871,0.9995071032895373,,-0.151483
Rngtt,-0.28393272,,,0.5820806424907512,0.9995071032895373,,-0.28393272
Smdt1,-0.027233886,,,0.5818485578940717,0.9995071032895373,,-0.027233886
Morc2a,-0.36299297,,,0.5815005121062704,0.9995071032895373,,-0.36299297
Bet1l,-0.2816644,,,0.5811525637026648,0.9995071032895373,,-0.2816644
Fam160b1,-0.14000316,,,0.5810366025531848,0.9995071032895373,,-0.14000316
Hist3h2a,-0.12020764,,,0.5808047127456687,0.9995071032895373,,-0.12020764
Slc39a4,-0.3378271,,,0.5802251778680008,0.9995071032895373,,-0.3378271
Phtf1,-0.26311567,,,0.5798775870732493,0.9995071032895373,,-0.26311567
Bcl3,-0.1869292,,,0.579530093953379,0.9995071032895373,,-0.1869292
Baiap2,-0.14116181,,,0.579530093953379,0.9995071032895373,,-0.14116181
Glrx2,-0.09806423,,,0.5786039236273981,0.9995071032895373,,-0.09806423
Ptprk,-0.23105511,,,0.5783724897803011,0.9995071032895373,,-0.23105511
Ppp2r4,-0.07724832,,,0.5781410994636411,0.9995071032895373,,-0.07724832
Comt,-0.11075797,,,0.5781410994636411,0.9995071032895373,,-0.11075797
Faap20,-0.09220175,,,0.5781410994636411,0.9995071032895373,,-0.09220175
Tmsb10,-0.03882675,,,0.5767536727275906,0.9995071032895373,,-0.03882675
Ccnc,-0.20041323,,,0.5766381247233969,0.9995071032895373,,-0.20041323
Hexa,-0.14388151,,,0.5757141338883245,0.9995071032895373,,-0.14388151
Rnaseh2a,-0.25275022,,,0.5757141338883245,0.9995071032895373,,-0.25275022
Whsc1l1,-0.13413134,,,0.5755986842178646,0.9995071032895373,,-0.13413134
Arpp19,0.009044564,,,0.5752524008395685,0.9995071032895373,,0.009044564
Mink1,-0.26869607,,,0.5742141419329494,0.9995071032895373,,-0.26869607
Fbxw7,-0.46165782,,,0.5740988346246303,0.9995071032895373,,-0.46165782
Herpud2,-0.40993586,,,0.5740988346246303,0.9995071032895373,,-0.40993586
Dot1l,-0.11974746,,,0.5739835382830856,0.9995071032895373,,-0.11974746
Vkorc1l1,-0.34778038,,,0.5731767711515888,0.9995071032895373,,-0.34778038
Ahctf1,-0.27668718,,,0.5728311785367457,0.9995071032895373,,-0.27668718
1600012H06Rik,-0.184745,,,0.5727160029786125,0.9995071032895373,,-0.184745
Alad,-0.12006754,,,0.5726008384143031,0.9995071032895373,,-0.12006754
Cggbp1,-0.1261839,,,0.5722554107067995,0.9995071032895373,,-0.1261839
Hcfc1,-0.14941524,,,0.5720251805787846,0.9995071032895373,,-0.14941524
Myh9,-0.09799745,,,0.5714497979257935,0.9995071032895373,,-0.09799745
Zfp827,-0.2393771,,,0.5711047005382104,0.9995071032895373,,-0.2393771
Hnf4a,-0.108456105,,,0.5711047005382104,0.9995071032895373,,-0.108456105
Agtpbp1,-0.44164982,,,0.5707597023776692,0.9995071032895373,,-0.44164982
Zfpl1,-0.15020321,,,0.5704148035045407,0.9995071032895373,,-0.15020321
Cyld,-0.24471073,,,0.5704148035045407,0.9995071032895373,,-0.24471073
Tmem11,-0.082611606,,,0.5702998592877916,0.9995071032895373,,-0.082611606
Orc4,-0.13447692,,,0.570070003979126,0.9995071032895373,,-0.13447692
Usp53,-0.19822165,,,0.5699550928916701,0.9995071032895373,,-0.19822165
Rrm2b,-0.33435243,,,0.5697253038616585,0.9995071032895373,,-0.33435243
Skiv2l2,-0.3556066,,,0.5697253038616585,0.9995071032895373,,-0.3556066
Irak4,-0.20303863,,,0.5697253038616585,0.9995071032895373,,-0.20303863
Ccser2,-0.17191854,,,0.5697253038616585,0.9995071032895373,,-0.17191854
Arfgef3,-0.19451614,,,0.5694955590396977,0.9995071032895373,,-0.19451614
Hpd,-0.2574158,,,0.5694955590396977,0.9995071032895373,,-0.2574158
Cyb561,-0.14458247,,,0.5692658584435977,0.9995071032895373,,-0.14458247
Sympk,-0.17501582,,,0.5686918005582406,0.9995071032895373,,-0.17501582
Nuak2,-0.28277275,,,0.5684622548927072,0.9995071032895373,,-0.28277275
Cyp4v3,-0.31388414,,,0.5683474986735202,0.9995071032895373,,-0.31388414
Zbtb7b,-0.2892607,,,0.5681180194733918,0.9995071032895373,,-0.2892607
Chmp3,-0.11464977,,,0.5676591940881492,0.9995071032895373,,-0.11464977
Zcchc8,-0.22356673,,,0.5672005461742877,0.9995071032895373,,-0.22356673
Mllt4,-0.14055787,,,0.5661692379801249,0.9995071032895373,,-0.14055787
Abcd1,-0.43366608,,,0.5661692379801249,0.9995071032895373,,-0.43366608
Akna,-0.4415217,,,0.5655966781030459,0.9995071032895373,,-0.4415217
Akap17b,-0.16993201,,,0.5655966781030459,0.9995071032895373,,-0.16993201
Zscan21,-0.31794757,,,0.56548219951375,0.9995071032895373,,-0.31794757
Vsig2,-0.32863814,,,0.5652532757388511,0.9995071032895373,,-0.32863814
Asnsd1,-0.25443292,,,0.5649099736186514,0.9995071032895373,,-0.25443292
Hyal2,-0.2571264,,,0.5649099736186514,0.9995071032895373,,-0.2571264
