,logFC,P.Value,adj.P.Val
Tmem33,-0.17044027,0.198336106855124,0.8996128020373015
Cfap36,-0.62552106,0.09558620974748773,0.8379277287664375
Fam109a,-0.2799906,0.19839776606527124,0.8996128020373015
Gpat4,-0.44884613,0.09566505271490015,0.8379277287664375
Hist1h2bl,-1.8297224,0.1984255966617828,0.8996128020373015
Stx17,-0.47360173,0.0955271754096907,0.8379277287664375
Zfp612,-0.67160386,0.19794021740454357,0.8996128020373015
Cyb5a,-0.15474786,0.0956122646808297,0.8379277287664375
Mettl3,-0.369753,0.19767441515891332,0.8996128020373015
Mfsd12,-1.6306682,0.095296462735789,0.8379277287664375
Rom1,-1.7899294,0.19821893988129027,0.8996128020373015
Zfp92,-22.890768,0.09555611840209222,0.8379277287664375
Med29,-0.23920083,0.19748226772692498,0.8996128020373015
D5Ertd579e,-0.46874845,0.0951995181567902,0.8379277287664375
Pitx2,-0.36409342,0.19728978626083285,0.8996128020373015
Pklr,-0.45010138,0.09498704784935108,0.8371150410514777
Fes,-1.7717426,0.19760556726814202,0.8996128020373015
Irs2,-0.87020004,0.09481961630243411,0.8371063887730058
Fam149a,-0.9663266,0.19746165813153108,0.8996128020373015
Pafah2,-0.43638173,0.09480899317666655,0.8371063887730058
Cdk8,-0.3127465,0.19705697784504211,0.8996128020373015
Troap,-22.075546,0.09495178789884814,0.8371150410514777
Pex11a,-0.2810581,0.19703061792780396,0.8996128020373015
Mtm1,-0.42398375,0.09474046866756239,0.8371063887730058
A330102I10Rik,-1.6721146,0.19712556472711135,0.8996128020373015
Plekhj1,-0.2590088,0.09455195170936505,0.8370586636718751
D730003I15Rik,-0.52659416,0.19659901489540704,0.8996128020373015
Oxa1l,-0.25489977,0.09447518604975313,0.8368006272441088
Fam98b,-0.31146485,0.1964613580271865,0.8996128020373015
Gm9888,-22.3486,0.09440219704753065,0.8368006272441088
Tbp,-0.5369234,0.19639396860700958,0.8996128020373015
Gimap8,-23.096813,0.09437557729864818,0.8368006272441088
Gm26761,-1.2587147,0.1965736448082995,0.8996128020373015
Trim46,-22.810238,0.09423535046139866,0.8363625321505852
Rfc5,-0.36698753,0.1961554670364032,0.8996128020373015
Slc12a8,-0.5980548,0.09398183713033255,0.8345340191467074
1600002K03Rik,-0.2359189,0.19600081549593595,0.8996128020373015
1810044D09Rik,-0.60690874,0.09375431565644089,0.8329345748385418
Tspan3,-0.13627298,0.19571757625865896,0.8996128020373015
Trp53inp2,-0.7372604,0.09348541649765202,0.8329345748385418
Auts2,-0.3070274,0.1954975526319954,0.8996128020373015
Dsc2,-0.2953317,0.093634604468612,0.8329345748385418
Shmt1,-0.27153188,0.19532872979389812,0.8996128020373015
Ifi35,-0.31495753,0.09364043842473294,0.8329345748385418
Reep3,-0.22968128,0.19515189731615346,0.8996128020373015
Iqsec2,-0.8208,0.09346517714548697,0.8329345748385418
Ift57,-22.966421,0.19593466006639118,0.8996128020373015
Vwf,-22.348148,0.09373013189544968,0.8329345748385418
Prmt1,-0.21361575,0.1947484968785227,0.8996128020373015
Tead1,-0.6559782,0.09346151958427242,0.8329345748385418
Gar1,-0.22745553,0.19479761046471883,0.8996128020373015
Tagln2,-0.1809469,0.09353451966205897,0.8329345748385418
Taldo1,-0.09880611,0.19466773293952164,0.8996128020373015
Apoa4,-1.1455779,0.09310062674307155,0.832599141860558
Smyd3,-0.58474594,0.19498833932563533,0.8996128020373015
Srbd1,-0.74999636,0.09300340658417937,0.832599141860558
Plscr3,-0.484125,0.19473084163095508,0.8996128020373015
4930509G22Rik,-22.945198,0.09306697077780532,0.832599141860558
Armcx5,-0.79770595,0.19477914668593624,0.8996128020373015
Ttc22,-0.75994635,0.09278334539225173,0.832599141860558
Dlat,-0.25210336,0.1946656571976668,0.8996128020373015
Gm14399,-22.336094,0.09291821105941425,0.832599141860558
Ankrd11,-0.16607268,0.19444486507917866,0.8996128020373015
Arhgap17,-0.40233037,0.09269828939458055,0.832599141860558
Ascc1,-0.26895267,0.19441738874033518,0.8996128020373015
Zmym2,-0.5418532,0.09265248731246534,0.832599141860558
Neil2,-2.3011534,0.19497060584491513,0.8996128020373015
Aldh2,-0.22698699,0.09280077450932181,0.832599141860558
Crybg3,-1.7588274,0.19467490077033503,0.8996128020373015
Gm4755,-22.767963,0.09283257130217826,0.832599141860558
Snx17,-0.20546134,0.1939212952194572,0.8996128020373015
Prss27,-1.2507666,0.09235875273791347,0.8322234262036792
Rnf19a,-0.5337516,0.19383534942753017,0.8996128020373015
Slc4a5,-1.0132962,0.09237579827202204,0.8322234262036792
Cers5,-0.4403363,0.19295505807114235,0.8996128020373015
C77080,-0.30449468,0.09253135598318502,0.832599141860558
Csnk1a1,-0.12880759,0.19273089677914088,0.8996128020373015
Izumo4,-0.87656635,0.09228724170059725,0.8322234262036792
Adgre5,-0.44505173,0.19258212078252343,0.8996128020373015
Plekhh1,-0.4301845,0.09230897956453094,0.8322234262036792
Ctdp1,-0.56456524,0.19255264603855934,0.8996128020373015
Alkbh8,-0.61204165,0.09215287398109853,0.8322234262036792
Adprm,-0.5152111,0.1919477929197465,0.8996128020373015
Sag,-23.01498,0.09233103990178246,0.8322234262036792
Mbnl3,-0.41411734,0.19152128529095322,0.8996128020373015
Rdh12,-22.930037,0.09218758122301703,0.8322234262036792
Itfg2,-0.38291287,0.19105199641184548,0.8996128020373015
C230035I16Rik,-1.3597265,0.091789925421326,0.8318846619025073
Hdac2,-0.23904374,0.19085986685721065,0.8996128020373015
Etv6,-0.55951,0.09175522876866517,0.8318846619025073
Arhgdib,-23.383776,0.1917420285713818,0.8996128020373015
Cwh43,-22.642876,0.09192080179682253,0.8322123905077601
Birc2,-0.47029683,0.19077940992436748,0.8996128020373015
BC049762,-22.300062,0.09190498645374508,0.8322123905077601
Gnaz,-1.8807279,0.19104256056553284,0.8996128020373015
Fam151b,-22.276485,0.09172141805666051,0.8318846619025073
Far2,-0.23834287,0.19017108279872696,0.8996128020373015
Kat7,-0.4537988,0.09159349537108902,0.8318846619025073
Slc52a2,-0.30875227,0.18986453657665983,0.8996128020373015
