gene,p.value,logfc
Cox5b,1.5751141994773104e-06,0.21294414
H3f3a,8.609886526633538e-06,0.14305097
Klf6,1.6217884692770336e-06,0.5994816
Cct3,8.71406572812548e-06,0.31416932
Prss53,1.6120016442775867e-06,0.9964631
Ahsa1,1.047247858123073e-05,0.34352902
Dip2a,1.783980384677172e-06,2.797869
Fabp1,1.1171516380183964e-05,0.740686
Cox7c,1.7813436761495837e-06,0.15959826
Txnl1,1.2641931286123477e-05,0.32595962
Cyba,1.807826923909022e-06,0.42452943
Tank,1.3401550984178099e-05,0.47887194
L1cam,1.815082190689386e-06,0.735635
Homer2,1.3618501662467258e-05,0.6620372
Malrd1,1.807900258683067e-06,1.0531318
Mtch1,1.3581040105179522e-05,0.33336648
Suclg2,2.0525393972651377e-06,0.5503703
Psmb6,1.5246145443469376e-05,0.21051951
Ly6g6f,2.132325044811674e-06,0.48050097
Acaa2,1.552638605132847e-05,0.44472882
Cftr,2.2338006647548914e-06,1.5275351
Bag3,1.6906686453837865e-05,0.69598496
Gprc5a,2.3659667115546e-06,1.3148974
Hspe1,1.6808896883128508e-05,0.25600326
Serf2,2.758075806164266e-06,0.18679073
Psma3,2.0135652206596255e-05,0.26044074
Ccdc129,2.775531917711888e-06,0.6590574
Mical1,2.089034178009578e-05,0.55572325
Tmem258,2.879368079897621e-06,0.33141184
Inpp5b,2.2204785146280147e-05,0.36786574
Clca3a2,3.0658103435882604e-06,2.6013148
Rps3a1,2.5853658113313067e-05,0.12948142
Hnf4a,3.3095537567288333e-06,0.47288898
Klhl22,2.6954762629120925e-05,1.0069062
Oxct1,3.668521546101549e-06,1.0307881
Nudc,2.7562333884699654e-05,0.32028398
Atp5l,3.8007866980975663e-06,0.18349952
Tuba4a,2.8383681857830177e-05,0.3922447
Uqcrh,3.823807183188245e-06,0.15641193
Cdk5rap1,2.952776124952606e-05,0.9075031
Serpinb6a,4.027716872327506e-06,0.47885332
Plvap,3.4430949062031485e-05,1.3824316
1700097N02Rik,4.083798091676775e-06,0.97862893
Slc39a8,4.268685835797753e-05,0.8373234
Dhcr24,4.105540498817182e-06,0.7421216
Vcp,4.247845098654922e-05,0.28143543
Mgam,4.258344786344752e-06,0.92346454
Dll3,4.852365011543302e-05,1.343635
Tmem245,4.4164581507648775e-06,0.5519868
Set,5.222001348091522e-05,0.27943897
Mbnl1,4.408637561566697e-06,0.5791729
Cct8,5.3992979130807256e-05,0.31726608
Clic4,4.453845913684572e-06,0.66841596
Reg4,6.0861221702399215e-05,0.9390906
Gpr137b,4.556446252668584e-06,1.3012046
Bpgm,6.274945447151057e-05,0.291003
Atp5g3,4.665913264602286e-06,0.26110044
Casp6,6.353244065870535e-05,0.3262264
Slc39a1,5.15394335265861e-06,0.82853633
Psmb1,6.442509541265181e-05,0.16373768
2610507B11Rik,5.3439923326549485e-06,0.8905366
Fam117a,7.077462135211418e-05,1.0196004
Atp2a3,5.60959089850256e-06,0.36065987
Cfi,7.698255376536932e-05,0.6668364
Fut2,5.826822901025439e-06,0.7957673
Ero1lb,9.259276759020739e-05,0.71610415
Rgs22,6.446769263911595e-06,0.5912567
Marcksl1,9.386205369462563e-05,0.38763183
Sst,6.911987114475477e-06,1.4173578
Pla2g12a,9.513372667096228e-05,0.42181832
Wdr13,7.09900250473899e-06,0.8687299
Psma1,9.715902206662996e-05,0.24650176
Sept8,7.190523712966472e-06,0.88644123
Rps7,0.00010170561521278901,0.1222007
Tlk1,7.697898381013522e-06,0.67055315
Hacd1,0.00010335409495064485,0.34222916
Rpl27,8.345489879741888e-06,0.18026179
Mrfap1,0.00010283141061636043,0.17205837
Atp5k,8.7226561196559e-06,0.2943216
H2afy,0.0001111002907367552,0.2576814
Ahnak2,8.81095608332327e-06,0.6049588
Rps3,0.00011387516528845904,0.13379775
Svil,9.140324669547529e-06,0.59690803
Psmd6,0.00014276771140966132,0.3310185
Cldn15,9.44544595740139e-06,0.8409583
Fam221a,0.00014561614209878114,0.41500202
Kalrn,9.517475067646077e-06,1.5984437
Ddx5,0.00014678074260426793,0.17417541
Atp5e,1.0476318572507271e-05,0.19287811
Atxn7l3b,0.000155688318549538,0.23045819
Avpi1,1.0682033509542763e-05,0.6213196
Pipox,0.00016335285973986295,0.6731658
Itgb1,1.1093781823491628e-05,0.48521727
Ube2s,0.00019760003439503563,0.3041605
Nr3c1,1.1245163418269742e-05,1.2208055
Tsc22d1,0.0002027211810522037,0.3049482
Kcne3,1.1353747918979964e-05,1.0170571
Snx6,0.00020795983453343077,0.34422192
Chmp4c,1.150324376827673e-05,0.5541309
Defa5,0.0002403728876057644,1.200191
Zc3hav1,1.2043728418486917e-05,0.69374806
Angptl4,0.00024196151461284795,1.4383465
Rps27rt,1.226712148291878e-05,0.32076138
Galk1,0.0002360541562223867,0.27532718
Ndufa2,1.2538443912365375e-05,0.25107965
Ccdc9,0.0002526405848970279,0.74103343
Acat1,1.2341606834798698e-05,0.5100108
Acadl,0.0002509845054633396,0.35941234
Pgm2l1,1.2452638349371091e-05,0.5137546
Tcf7l1,0.00025667105526376187,0.69170225
Rps2-ps6,1.2773531146267478e-05,0.44684154
Sf3b1,0.00026003980905255303,0.2837788
Gsdmc4,1.3460451423643339e-05,1.9286015
Sec11a,0.0002721453211847145,0.26418966
Psmb9,1.3731491551043638e-05,0.7389644
Eef1g,0.00027262952042705815,0.14814346
Cant1,1.4265980852716688e-05,0.6857977
Dstn,0.0002864068435041817,0.16457468
Glod5,1.426287977723794e-05,0.7766734
Paip2,0.00028644353529164645,0.27045074
Paqr4,1.5001066147684658e-05,0.88604045
Hsd17b12,0.000298102431753852,0.3588268
Hoxb9,1.5570133605510547e-05,1.8238429
Mmp7,0.00032320148465523317,1.0412171
Fam105a,1.6339852687509814e-05,1.0427132
Cldn14,0.000331276644465346,0.82453054
Camk2b,1.669282588319195e-05,0.5457442
Fabp2,0.00034720147633457004,0.46499082
Rps27,1.834269034462932e-05,0.12149309
Abca1,0.0003678294894762955,1.2624965
Pigr,1.9027667813309042e-05,0.52492523
Eef1b2,0.000370099549591301,0.12841743
Wdr76,1.906499372078695e-05,1.7991621
Tff3,0.000390761171699971,0.37162802
Cluh,1.9383335099275003e-05,0.7540479
Asf1a,0.0003951999174861177,0.4613725
Rnaset2b,2.11543949445728e-05,0.48118538
Tsg101,0.00040165461725519584,0.34297132
Rpl6l,2.153449405003614e-05,0.27985284
Erh,0.00041334870943705176,0.22737586
Myadm,2.1720687905410066e-05,0.6758895
Gm15293,0.0004365544182566836,1.913714
Irf2bp2,2.1621965360563086e-05,0.7158347
Rps9,0.0004302035912674363,0.12214551
Cox6c,2.2200609478520896e-05,0.1587564
Psmd11,0.00043636962404914464,0.2970317
Ptbp3,2.250786956722512e-05,0.3722543
Eif5,0.00043765507703059415,0.20777327
Plekha6,2.2887963989329448e-05,0.53617746
Sox4,0.0004581053381789484,0.4922445
Ptprc,2.323072827045905e-05,0.94608295
Cct4,0.00047903282831778166,0.23909706
2010107E04Rik,2.3676423133398035e-05,0.21653374
Grtp1,0.00048399796005814107,0.40961018
Aes,2.385138202027781e-05,0.2802286
Trappc3,0.0005142548296311623,0.3702575
Chchd10,2.581076052134675e-05,0.33291948
Dnaja4,0.000536426060691415,1.24789
Txn1,2.6291442058860623e-05,0.22691011
Mdh2,0.0005419763266702398,0.18384776
Hivep3,2.6322955109802008e-05,0.8821569
Spdef,0.0005470362945107533,0.77134633
Chml,2.7981879376665306e-05,1.1559674
Ptov1,0.0005557269485822537,0.2692159
S100a13,2.8457909456744518e-05,0.5326875
Foxa3,0.000577851378429064,0.47147217
Fam193a,2.8368368752437477e-05,0.78877836
Rce1,0.0005776738513092218,0.46339387
Dynlt1c,2.9279156235320192e-05,0.43192896
Atp4a,0.0005925951269762605,0.6559984
Phgr1,3.1540545254307484e-05,0.54421246
Vta1,0.0006209576510367329,0.34648278
Nup205,3.270064000851144e-05,0.8163663
Vcan,0.0006563457437085823,1.236116
Fam120a,3.487305528806174e-05,0.4459329
Etv4,0.0006669959250291148,0.6560086
Gm9843,3.510684063902349e-05,0.164548
Cbr1,0.0006778353750380782,0.27199528
Myo1d,3.595507913074302e-05,0.58889467
Naca,0.0006789450213026878,0.12974837
Mlxipl,3.616741145434806e-05,0.8875512
Btg1,0.0007526926040469959,0.2545546
Klf4,3.765730125596454e-05,0.47372228
Aldh9a1,0.0007578843423092027,0.30501157
Tmsb10,3.8235164162268335e-05,0.2617443
Klhdc2,0.0007591510824240068,0.3309298
Gm4285,4.111293325739857e-05,2.2634983
Tmem33,0.0007705025333843794,0.2809453
mt-Nd5,4.213312556301709e-05,0.2978376
Onecut2,0.000796105292462487,0.4642796
Nrarp,4.1684413719479854e-05,1.2831846
Msrb1,0.00081882921098573,0.29714957
Rpl10-ps3,4.493254434889332e-05,0.20339599
Hmx3,0.0008314402738536451,0.2850575
Atp5j2,4.47513509325479e-05,0.16955538
Xrcc5,0.0008395211092021618,0.6607227
Chat,4.5760045902049125e-05,0.798675
Gm16191,0.0008851530855218343,1.5249269
Slc12a2,4.6213271653503606e-05,0.53498733
Eef1a1,0.0008787441358117568,0.09502429
Myl6,4.670942398235561e-05,0.21329404
Smu1,0.0008978953479270262,0.38989058
0610007P14Rik,4.700707601798699e-05,0.399613
Eif3f,0.0009058163555682795,0.1416286
Gsto1,4.7027339858664556e-05,0.38570955
Cct5,0.0009214132079924458,0.20858316
Fam129b,4.832008453053924e-05,0.73042816
Abcb9,0.0009295811840045509,0.6042221
Msi2,5.00009923453212e-05,0.40060604
Bud31,0.0011046198630644051,0.2389938
Cnnm3,5.15131611855686e-05,1.2244471
Ttc39c,0.0011694918547410546,1.9820513
Rpl36,5.518483972048091e-05,0.1632644
Abhd17a,0.0011783415865628216,0.31728098
Kctd13,5.610313362989517e-05,0.6079811
Zfp667,0.0011966441816288387,1.3923467
Tbc1d13,5.622576089587618e-05,1.1903775
Med21,0.0011864953268252683,0.3282025
Tmem236,5.6626869276920936e-05,0.7194224
Rassf6,0.0011994713591340464,0.4410289
Slc25a24,5.729039737685526e-05,0.5574814
H3f3b,0.0012789499260468578,0.11297036
