gene,p.value,logfc
Sis,1.055665581149197e-139,1.8556279
Acot1,0.0,3.4875734
Sepp1,1.2981603036305393e-121,2.7724144
Hmgcs2,9.459409848169987e-252,2.696301
Mgam,2.971671581606942e-111,1.4143933
Defa24,4.344972258112086e-237,1.4587932
Atp1a1,6.781107877207711e-111,1.1048566
Lyz1,6.653873622376081e-223,2.053224
Smim24,8.59660166037026e-93,0.69458526
Gm15284,1.4445803070950904e-208,1.6265187
Slc5a1,1.120850700429266e-89,1.6077334
Fabp1,8.191337029918807e-147,2.142534
Atp1b1,9.815957175099381e-84,0.70368713
Fabp2,2.3863801294294146e-127,1.4024371
Lypd8,4.937026548496046e-81,0.65214837
Cyp4a10,3.370671825315303e-125,3.5864842
Khk,5.883658507501605e-79,1.0336851
Gm14850,1.748107669202237e-126,1.5865297
Cox6c,1.903301084319082e-77,0.33023456
Itln1,3.491272903268374e-117,1.6518471
Aldob,1.992363821436388e-73,0.97463304
Me1,1.8533262020425665e-113,1.9075106
Oat,1.3581949373881514e-74,0.6879119
Hsd17b11,2.1392736027322381e-103,1.3763562
Serpinb6a,3.691959079146211e-70,0.7031548
G0s2,6.123079563887854e-96,5.151653
Gapdh,1.1785097909530805e-68,0.6809671
Gm14851,1.2647426192707935e-97,1.7144072
Cox4i1,9.961525601274855e-60,0.2526145
Defa17,1.2785777590342368e-94,1.457896
Pkm,3.5385249334141615e-59,0.73171353
Creb3l3,4.6367225494499565e-91,1.3314092
Cyp4f14,2.559949351719635e-56,0.9922128
Dhrs4,1.9449378602824929e-90,0.8365343
Cox7c,9.311403355744837e-53,0.23606922
Retsat,3.2610823553486654e-83,1.2869703
AA467197,1.865908454401776e-51,1.8401567
Chchd2,4.0773278579346264e-82,0.24947968
Tkfc,3.6897436145261095e-52,0.8575085
Abcd3,6.011587204568153e-74,0.9159433
Slc2a2,2.0939756950004615e-50,2.397313
Hsp90aa1,2.915957993634155e-74,0.98490876
Cox6b1,1.3113877822311679e-51,0.24251465
AY761184,2.8915024385871404e-72,1.2064252
Gpi1,2.3041477652380868e-51,0.6547371
Ces1f,8.867848419940721e-68,1.3463839
Phgr1,4.390847648509189e-49,0.41463912
Angptl4,1.3370193684783309e-63,1.9426624
Txn1,5.764396868902287e-47,0.24721667
Plin2,7.419969012876392e-63,0.9456258
Ndrg1,2.2544745256622672e-45,1.315786
Gm7861,2.2247616631341114e-60,1.6363492
Eno1,1.0341843317420734e-45,0.66155857
Defa20,9.705547817307764e-58,0.8832151
Cox8a,2.305199328674985e-44,0.20096214
Acaa1b,7.517474779049402e-55,1.8814598
2010107E04Rik,1.4634472019149958e-40,0.31417504
Akr1b8,1.090045472541871e-53,1.5712724
Cox6a1,5.383718003129722e-39,0.23429741
Hsdl2,1.317449197918269e-53,1.1467578
Fau,5.7921343865767305e-39,0.16607979
Etfb,2.987910967789464e-52,0.5050988
Pls1,9.968998542912332e-38,0.9404154
Acot2,6.72823394515047e-53,1.7687744
Ppargc1a,5.1225396000431907e-36,1.28646
Por,2.2879716431403032e-52,1.0288143
Pigr,2.0733479281361277e-35,0.38927978
Acaa2,5.669136078587481e-51,0.5916327
Muc3,5.86343414841451e-35,0.8982273
Ech1,8.01450706501063e-51,0.61520445
Cox5b,3.531972165428979e-34,0.19660959
Scd2,3.5331952402373224e-49,1.5798985
Slc37a4,1.2415329363252555e-33,1.1243451
Pxmp4,2.1772447932145674e-48,1.0967959
Serinc3,7.2932752070304465e-34,0.6115133
Paqr7,3.617042655110695e-46,1.5104456
Aprt,1.4756353474409575e-33,0.4397442
Hadhb,9.461097936011143e-41,0.5939314
Crip1,4.5448934807171424e-33,0.39008152
Acadvl,8.036881074627762e-39,0.6029452
Spink1,5.6152460446628516e-33,1.1151366
Scd1,1.1482375296766128e-38,2.511915
Actg1,1.236982585041669e-32,0.33715078
H2-Q10,1.7441616368129439e-38,1.5978589
Ndufa6,4.561251828858829e-32,0.27279145
Slc25a20,4.1397017113745446e-38,0.9321492
Ckmt1,7.137096738739176e-32,0.49695754
Pank3,5.818790147333653e-38,0.7750412
Uqcrh,1.0645705756384024e-31,0.17365815
Mgst1,1.9998233458100648e-36,0.43069756
Cobl,3.5916909656862837e-31,1.1356673
Nme1,2.1355701231885774e-36,0.48348358
Actb,1.415981213993369e-30,0.47725993
Mgll,9.82290155035415e-36,3.170474
Krt18,7.9910727669136e-30,0.75640184
Hsd3b3,9.798032707857353e-36,1.2847292
Sult1b1,8.57049555028429e-30,0.5997717
Defa22,8.175071524040967e-35,0.8941105
Mlxipl,1.1747499763712657e-29,0.6884375
Rab9,2.3929497652257336e-34,0.80363107
Eef2,6.573506419282868e-29,0.23941702
Ftl1,5.2994921568286166e-34,0.32931873
Slc25a5,2.26183658305279e-28,0.21749781
Acadl,5.578389229227748e-34,0.7417884
Gm9843,9.312114717479721e-28,0.25952834
Acot8,7.5111624956581014e-34,0.7370512
Id2,3.269513381352469e-27,1.4916734
Gm15308,2.9821250591226632e-33,0.9332542
Gls,8.975119000451732e-27,0.8831731
Clps,5.914638329196333e-33,1.5986013
Atp5c1,8.76653135503162e-27,0.25675416
Defa21,2.9483885254127906e-32,0.86979234
Btg1,3.257636697212792e-26,0.6962722
Cpt2,4.799916299731178e-32,0.6650453
Fam234a,4.050767235846868e-26,0.6342978
Gpx2,1.0806252296323603e-31,0.6867384
H2-T23,9.569653121167456e-26,1.3686894
Cst6,5.237204382911992e-31,0.7109698
Il18,7.194592688736138e-26,0.98181814
Erh,7.0199414232204285e-31,0.52775186
Cox7b,6.372488440582125e-26,0.18566053
Cotl1,7.381113480595009e-31,0.71490294
S100g,1.8955510786896994e-25,1.3442014
Aldh3a2,9.608581405542741e-30,0.84061235
