,logFC,P.Value,adj.P.Val
Fxyd4,-20.54729,0.019544549063413123,0.35010842068436165
Dstn,-0.20130718,0.04531425379327288,0.5277053558046284
Nfil3,-0.89603394,0.019514463297275273,0.35010842068436165
Uqcc3,-0.33926156,0.045310293324960366,0.5277053558046284
Bloc1s6os,-21.456306,0.019441854984591778,0.3497007992945355
Mfsd10,-0.86207354,0.04531295714183279,0.5277053558046284
Mzb1,-20.908707,0.0194269490073501,0.3497007992945355
Taf1d,-0.5203537,0.04502152584254938,0.5262737418279283
Acy3,-0.66436446,0.019442194327136016,0.3497007992945355
Rbfa,-0.5793495,0.04506525438729851,0.5262737418279283
Tm2d3,-0.42080283,0.01954307964708393,0.35010842068436165
Fbxl14,-0.79733014,0.04459387149633274,0.5227805895964345
Zfp953,-2.108043,0.019204977483900043,0.3493675665885874
Wapl,-0.39234012,0.044265064323818964,0.5198451008343461
Zfp619,-20.583925,0.019156665016432494,0.3488498179624541
Aspg,-3.1580918,0.04428430637620304,0.5198451008343461
Eif4ebp1,-0.27223724,0.019421020065754167,0.3497007992945355
E430018J23Rik,-1.7257926,0.04426477016082591,0.5198451008343461
Smn1,-0.7738058,0.019351212097414215,0.34969488743192406
Uhrf1,-1.045637,0.04379560113869275,0.5161771286453707
Cnpy3,-0.6436644,0.01923587042979974,0.34956768465653654
Specc1l,-0.6320262,0.04375936002389744,0.5160961299999662
Tm2d1,-0.44475085,0.01929476054796189,0.3496468185278055
Bms1,-0.8662506,0.04373670491932215,0.5160961299999662
Kif5b,-0.30442396,0.019346038433220317,0.34969488743192406
Adrbk1,-0.44748262,0.04365469871829564,0.5155537772692266
Eif1,-0.13326026,0.019263318879968242,0.3496468185278055
Timm44,-0.50879115,0.04363785629772581,0.5155537772692266
Camkmt,-20.405325,0.018765526999921865,0.34361024616675423
Tpsg1,-0.5083786,0.04346668304576771,0.514716995393043
Ugt1a7c,-21.274742,0.018761879825588516,0.34361024616675423
Zbtb5,-1.5670458,0.043547309703003016,0.5149777075443284
2700033N17Rik,-20.835783,0.018755664920933203,0.34361024616675423
Rnase4,-0.2155386,0.043403804579880155,0.514716995393043
Arx,-21.685934,0.018708260683639424,0.34361024616675423
Gtf3c1,-1.2915374,0.04352208268583318,0.5149777075443284
Fam57a,-0.91235363,0.0187328051719344,0.34361024616675423
Gsdmc4,-1.5076349,0.04344039222760391,0.514716995393043
Ik,-0.49546874,0.018839024711499005,0.34449342482327994
Khsrp,-1.040919,0.04332522976140503,0.514716995393043
Zfand2a,-0.87755823,0.01877117375064497,0.34361024616675423
Dclk1,-1.9523822,0.0434068790572966,0.514716995393043
Lyst,-3.3379853,0.01847249848909185,0.3410125995468758
Prr15,-0.6919794,0.04310108432944691,0.5131598183703244
Tm7sf3,-0.5579124,0.018655811535426323,0.34361024616675423
