gene,p.value,logfc
Sis,4.122757934643163e-08,2.6224616
Lyz1,1.5733387832476292e-20,2.0212536
Rpl41,2.338713125907027e-07,0.24707972
Defa24,2.001105086446953e-18,1.3403742
mt-Nd4l,3.663065445924032e-07,1.2872015
Gm15284,5.180260331567098e-16,1.5862389
AA467197,4.5148952795495803e-07,1.6918525
Itln1,3.038063530353301e-13,1.6411772
Gm42418,1.1423971756487066e-06,0.96085894
Gm14851,1.2146475505796188e-07,1.4330473
Tnfsf10,1.839124175930499e-06,2.0358467
AY761184,2.5311094464422526e-07,1.2188686
Enc1,1.9980254898721722e-06,2.8348753
Gm14850,6.799183177740932e-07,1.0631325
Naip2,5.104554611573618e-06,1.9806777
Hn1,5.7129135534998285e-06,0.42024243
Creb3,5.5196283107825475e-06,1.5949682
Hmgcs2,1.25196542919184e-05,1.2753963
Hexb,6.131691773465534e-06,2.083058
Defa22,2.0542482928547508e-05,1.0049672
Ppargc1a,1.0261168145186341e-05,25.962288
Defa20,3.1093839480117936e-05,0.758162
Mcm3ap,1.389207914809544e-05,3.3857694
Inpp5j,5.842189697562945e-05,0.69292593
Manea,1.9661291788178438e-05,3.4829218
Defa17,6.481790199812518e-05,0.853202
Cttnbp2nl,2.1906858283802655e-05,1.6435494
Fkbp4,0.00011679654161773873,0.42065823
Serinc3,2.9537426628709545e-05,0.84906375
Ppil4,0.00013586312665549087,1.1080261
Pwp2,2.6341757753531818e-05,2.9218607
Fabp1,0.00014267635453498896,1.1985223
Sema5a,3.5438288806446526e-05,1.3368654
Tfg,0.00015148510234310155,0.7350486
Cdc7,4.763762864036189e-05,25.420038
Atg5,0.0003753831797388008,0.865814
Fam49a,5.61975550822458e-05,1.6901579
Gm7861,0.0004992041537698602,1.1443695
Strip2,6.0003267525880316e-05,1.1621411
Acadl,0.0006025439842140287,0.6620741
Paxbp1,6.641717848955926e-05,1.3962967
Evl,0.0006768166649594265,1.2256826
Oat,9.080280045798573e-05,0.87644595
Eci2,0.0006246186413136668,0.66379404
Ceacam1,0.00010660838659031614,0.68240017
Mtch1,0.0006693978586684939,0.48718238
B4galnt2,8.924267900950614e-05,2.0199986
Clps,0.0007637343843351701,1.5165108
Sirt2,9.879100087930628e-05,1.1069542
Defa21,0.0007990438556308571,0.77762115
Lman2l,9.888799667736968e-05,1.2602621
Ppic,0.0008532616757035639,1.0425794
Rpl7a-ps5,0.00010979040766564853,0.5850961
Zg16,0.0008925523161484081,0.6052668
B4galt5,0.00010407908867041378,1.2345638
Rbmxl1,0.0009301062396873057,0.67629015
Hoxaas3,0.00010319416215239957,1.9427615
Acot1,0.0009679022939375823,0.8719821
Ifngr2,0.00011592427953504923,0.8724377
Hnrnpf,0.000886087064024594,0.32626393
Insr,0.00012573701158997484,1.8005182
Hnrnpk,0.0009228861967666897,0.36636963
Dsn1,0.00014186486316918387,25.479765
Cacybp,0.0009945662423288925,0.5420174
Gas6,0.00014621448486792473,1.3504481
Nkd1,0.0010968974306276805,1.0980461
Tgfbr1,0.00014454041838731578,1.690206
Sfrp5,0.001165578159370915,1.1732587
Chpf,0.00015592853165861405,2.667497
Psma4,0.0010748099988170722,0.42051813
Lzts3,0.0001584530991233202,2.3222275
Sec11a,0.001100843962027231,0.44815972
Cds1,0.00017137329911344983,1.4075509
Fam118b,0.0013214116129132898,1.2596892
E2f8,0.00016481599063068587,2.6319983
Msi1,0.0016255472651590867,1.0119339
Itih5,0.00018134028576720717,25.671082
Foxa3,0.001640798839285597,0.8342794
Ephx1,0.00019990205956676912,3.8536096
Marcksl1,0.0016233986285942694,0.6416801
Mlxipl,0.00024080337797211183,1.0407143
Ang4,0.0016388624022042391,0.94110835
Dab1,0.0002487724622252672,1.8988324
Eif3d,0.001720916791584697,0.53565073
Mettl4,0.00027840419431282706,25.335285
Rwdd4a,0.0023002297195575303,0.8493909
Id3,0.00026760871235048195,1.2622846
Cdc37,0.0022650649380076444,0.41049933
Hlcs,0.00029831435571933267,2.484218
