,logFC,P.Value,adj.P.Val
Gm12500,-1.2699898,0.15775165734714958,0.5125946228707614
Map3k1,-0.50065446,0.010988310406310795,0.10579225445690822
Tm2d3,-0.13485642,0.15761245572051155,0.5125946228707614
Slc25a36,-0.44947118,0.01096004690603008,0.10565052346663005
Dnah1,-21.243036,0.157820064879472,0.5125946228707614
Atp10b,-0.36489558,0.010906233188594851,0.10523058607695182
Sh3tc1,-20.76405,0.15772381044325642,0.5125946228707614
Arf4,-0.20268221,0.010907795175524928,0.10523058607695182
Gm26792,-21.62994,0.15766684487546462,0.5125946228707614
Pptc7,-0.4847714,0.010881249093766648,0.1051794226208808
Gm28231,-21.332376,0.15764276383103995,0.5125946228707614
Eif2a,-0.20050247,0.010848152488672705,0.1049172172170861
C1qtnf2,-21.500113,0.15761657346577537,0.5125946228707614
Zmiz1,-0.36144006,0.010842239403138929,0.1049172172170861
Xkrx,-21.160069,0.15761458039861356,0.5125946228707614
Ip6k1,-0.41776782,0.010840891685479385,0.1049172172170861
Gm26711,-21.386728,0.15760861205643398,0.5125946228707614
Pygb,-0.5531488,0.010830881477863654,0.1049172172170861
Gm26576,-21.533728,0.15759777155423169,0.5125946228707614
Cyp2s1,-0.71614826,0.010821492623903592,0.10489028675116262
Trappc3,-0.14652874,0.15733303793859482,0.5125946228707614
Malrd1,-0.6264596,0.01074816026409318,0.10426109774895045
Gm8705,-21.042706,0.15755844003652167,0.5125946228707614
Snhg20,-0.3516126,0.01066886754182161,0.10358232558697855
Gm26764,-21.073189,0.1575566357255004,0.5125946228707614
Gm15234,-1.3917474,0.010650243420524159,0.1034586664615097
Postn,-21.356289,0.1575483053589404,0.5125946228707614
D17H6S53E,-0.7489096,0.010607842036813375,0.1031037655491822
Bank1,-21.185892,0.15751949977922527,0.5125946228707614
Fam73b,-0.69769615,0.010603001824497119,0.1031037655491822
E130111B04Rik,-21.060064,0.15751234914171341,0.5125946228707614
Gng5,-0.10007493,0.010593354932963836,0.10307698019765973
Ccdc102a,-20.095669,0.15747151985716915,0.5125946228707614
Heatr1,-0.8779471,0.010591449377256437,0.10307698019765973
Kif26a,-21.457075,0.1574680176560637,0.5125946228707614
Msl3,-0.3740971,0.010506882351940184,0.1024056814035745
Gm2093,-21.00714,0.1574561391583348,0.5125946228707614
Rpl17,-0.04224454,0.010480254216668953,0.10220283426721616
