gene,p.value,logfc
Pdia6,2.7899710390699174e-25,0.2685642
Rps21,1.3513491952091928e-22,0.17284162
mt-Co2,4.819462574521558e-25,0.13348956
Atp1b1,2.3917684939989206e-22,0.31837365
Creld2,5.318090649951833e-25,0.45771623
Npm1,9.237412148562127e-22,0.27566257
Cd63,6.711281693796304e-25,0.27694467
Mlxipl,1.2392263754510093e-21,1.1410381
mt-Cytb,1.2695324431951704e-24,0.14114878
Rps24,2.3487032758014057e-21,0.15042077
Pdia4,1.7727175754351342e-24,0.43036106
Impad1,5.194509091840869e-21,0.36728793
Defa3,6.780638083255293e-24,1.019059
Cox8a,1.841737200515544e-20,0.14925571
Cd74,1.2793987924574381e-23,1.7686799
Rpl10a,2.719631943980978e-20,0.1368699
Tubb4b,1.3815178127513516e-23,0.45385095
Hoxb9,3.0892860031007306e-20,1.2753329
mt-Nd1,1.4606849946041068e-23,0.14794269
Glud1,4.443612849112327e-20,0.5288792
Lpcat3,1.2942648353727875e-22,0.57916844
Uqcrh,4.6668881083655045e-20,0.15017392
Asns,2.525139022838627e-22,0.523796
Rps20,5.592353971528343e-20,0.14753996
Manf,3.1887035817626153e-22,0.27306405
Uba52,6.51590646695381e-20,0.27282912
Ccl6,3.4836723201055627e-22,0.8001889
Ndufa6,8.308613221117525e-20,0.23066969
Hsp90ab1,4.966837634671268e-22,0.24771787
Rpl3,1.0577541802754202e-19,0.14362581
Prdx1,5.302748245377103e-22,0.21053344
Rplp0,1.0779888814539175e-19,0.12596908
Gm21002,6.662125625304749e-22,0.9932078
Kit,1.484372514513007e-19,0.54652005
Dbi,8.396631404646265e-22,0.20280077
Cox4i1,1.1671988435741458e-18,0.12773919
Onecut2,1.1874812053627804e-21,0.65030444
Sdc4,1.834986079334859e-18,0.50090075
Hspa1b,1.6487771564844234e-21,0.884548
Rps25,2.5819207173075017e-18,0.14598784
Gm15292,4.466499363235724e-21,1.6046317
Rpl6,3.223553596866885e-18,0.13012843
Cacybp,8.110686499810645e-21,0.43070439
Rpl9,3.903024207724555e-18,0.116059035
mt-Nd2,8.798074340467215e-21,0.16033402
Rpl13-ps3,4.4484709124855994e-18,0.3645072
Neat1,8.780206308942794e-21,0.4206212
Cbx3,6.638089106503844e-18,0.45322385
Dnajc3,1.4585491613993598e-20,0.33387387
Tshz2,8.452446990162502e-18,1.292223
Serpinb1a,7.173483682307795e-20,0.3527485
Rgs17,1.4534912203701424e-17,3.0695488
Cyp2c65,1.1911645825655193e-19,1.0933791
Oxct1,1.2710608815928393e-17,0.4984785
Dgat1,1.2810924351539836e-19,0.60229605
Clca1,1.488653875258171e-17,0.65054685
Aars,1.2938121170134327e-19,0.45145398
Cox7c,1.5881240111091753e-17,0.15113965
Prap1,1.6790746415307223e-19,0.55737686
Bri3,1.6632033502585948e-17,0.26405326
Rbp2,1.7518636281158628e-19,0.6104986
Pdcd4,1.6756525821753318e-17,0.35410875
Nme1,3.3400934968195665e-19,0.22288285
Rpl24,2.1859065132959268e-17,0.13240692
Acadvl,4.74762666443804e-19,0.4665038
