gene,p.value,logfc
Rpl9-ps6,0.0008101507793635457,0.8000467
Fabp1,1.3796465531335752e-17,2.6352532
Btg1,0.000865007447979383,0.9758648
Agt,8.239930299628472e-10,2.5512872
Gm42418,0.0012549041213664217,0.68685716
Pdss1,4.580044417135246e-05,2.9263625
Polr1c,0.0017812775082285952,1.1373175
Lrrfip2,5.793120711959015e-05,2.1887002
Sis,0.003391503197593283,2.038455
Mgll,8.190565216184453e-05,2.2817116
Hpcal1,0.004209176448536028,1.380872
Cd302,9.687905476926168e-05,2.9070103
Clk1,0.006057482647824962,1.1703385
Car9,0.00013416698486758488,2.6709647
Plac8,0.006147514424950566,0.5634901
Mtg2,0.00014791555033066514,3.4281166
Saraf,0.0065789079147310905,0.82275885
Cebpb,0.00021412180572876095,2.6389396
Arglu1,0.007629370412399777,1.0885922
Clpx,0.00021760213663793928,2.5368416
Slc4a7,0.008302104538890138,1.737084
Galnt4,0.00021033946772222096,1.5502995
AI480526,0.009306032016841942,2.670813
Jmjd6,0.00023059019815979177,2.9536638
F8a,0.009019720693686308,1.7465235
Eif2s3x,0.0002312998856560417,1.7799313
Cds2,0.009616500553717452,2.8063529
Klhdc8a,0.0003066697711668549,3.6840742
Ptms,0.008556781402376689,0.64858025
Phf10,0.0002903566636541617,2.5215883
Gnpda2,0.010589156387605906,2.9993477
Upk3a,0.0003109551783880075,3.0209827
Pak2,0.009842671384720492,0.98303837
Cyb561d2,0.00028809360493810754,2.1795204
Prpf38b,0.011260704509734442,1.0432055
Upf1,0.0003053719753418019,2.0597465
Rpl37a,0.010855583031424034,0.56756926
Hmgcs2,0.00033705945449841613,1.2766944
Gm11808,0.011521330897313496,0.6002353
Ddx21,0.00032415085436725836,1.3482696
Smim20,0.012242575107729994,1.0081912
Hdhd2,0.0003525382513709766,2.2517104
Tsc22d1,0.012465546911464054,0.8575036
Haus7,0.00047181403450709416,2.9271698
Slc4a2,0.012818039724247084,1.4771996
Ppa2,0.0005126653743890617,1.5731633
AA467197,0.013583994628091473,2.571135
Psat1,0.0005905299975367342,2.7374072
Pnrc1,0.013963367425529416,1.1351452
Arhgap39,0.0006130905191110122,3.1597555
Deptor,0.014618061129581089,0.971887
Slc22a1,0.0005962925418076749,1.745266
Slc10a5,0.016265735272986595,25.771835
1110037F02Rik,0.000774166290417979,25.470049
Rpl27,0.01535825032000263,0.47897908
Cpsf6,0.0007072971434917447,1.5024909
Sgms2,0.016660727602790092,1.926261
Rwdd4a,0.0007849813012601768,1.4783317
Necap2,0.017437024976840784,1.794638
Sh3bgrl2,0.0008839555908259967,1.7047459
Atp2a3,0.017186192949514026,1.0639542
Chmp6,0.000880990869658255,2.0261273
Rab17,0.018091554860810342,1.523826
Mmd,0.0009173861523533554,1.6600286
Golph3l,0.01886648257172012,1.4293083
Zdhhc6,0.0009858887997892026,1.6193002
Tep1,0.020090686761732087,2.2854156
Gstk1,0.0011415586340130857,25.609102
Gm8730,0.018801969950392308,0.5397423
Acox2,0.0011661172554784528,25.401485
Cystm1,0.019146758220657728,0.61131537
Wdr12,0.0010422022816603952,2.1227286
Guca2a,0.01907443505825675,0.9452446
Ccdc127,0.001041745683438621,1.6606339
Fig4,0.022358237625900848,4.3277817
Cask,0.0012006768533615278,2.8043451
Ppcdc,0.02176127935097902,1.6332167
B3galt6,0.0013284423828042347,3.3629923
Fam117b,0.0229624241194389,1.9860922
Cdk5rap1,0.0013588506030236805,4.2252684
Casz1,0.021938257100799753,1.029797
Lrat,0.001405498056884574,25.58648
Slc17a4,0.023012244418562627,1.8972756
Lrrc59,0.001369426897491561,1.2536482
Relb,0.024148545957464844,2.1653159
Rsu1,0.0013861783120512298,2.806464
Kctd12,0.024386729867297723,2.0816646
Dag1,0.00139199528018168,1.2920663
2510002D24Rik,0.023406447075232744,0.8706895
Rnaseh2c,0.0014086927060979796,1.1743895
Elf1,0.024194442471394934,1.1289039
Prelid2,0.0014165917435760105,2.3714938
Inppl1,0.02478840391113329,1.5496882
Creb3l3,0.0014499407263638762,2.7812161
Clic1,0.02409906961330721,0.77197814
Mrpl41,0.0014164818727767751,1.097346
Pcnx,0.02498153665487598,1.638662
Foxo3,0.0015406202355854476,3.356421
Smg7,0.02527692010189394,1.7146388
Coq7,0.0015092509084046368,1.4821938
Smim24,0.02422396860563579,0.65705657
Zmynd8,0.0015841590813812675,1.7073736
Ap2b1,0.02555540158630095,1.1626533
Gpt2,0.0018105327337527,3.7730126
Ncoa5,0.02681771707660139,2.2273865
Dcaf5,0.0018667918812567675,4.7108307
Cib2,0.026635190445435098,1.1453398
Nom1,0.001699092506472843,1.9063095
Pdhb,0.02664835038053445,1.1220043
Lockd,0.0018235722630442687,2.4292846
Acy3,0.027727277767102987,1.7750432
Osbp,0.0018914131178066936,1.9177561
Krt18,0.0264977681431831,0.48451266
Ccdc22,0.0025431558445209814,2.830553
Nup214,0.027916993358499866,1.6480036
Tmem167,0.0025756616293834264,0.82706714
Gapdh,0.027035095543561323,0.50344527
L1cam,0.002812327096436547,3.9967163
Fcgbp,0.02749533231790557,0.8380358
Gstp1,0.0027716358122753582,0.9964267
Ccdc47,0.02739591821418914,1.0101639
Blvrb,0.0029649338835192386,0.87699664
Ccnd3,0.028612672558479157,1.124104
Cdk9,0.002889183073342267,1.3534063
Cyth2,0.0293537849112249,1.4113429
Plekha7,0.0029805725287282542,2.0890977
Sgpp2,0.030208170526531453,1.7731959
Casp1,0.002965170710674588,1.5215348
Csnk1g2,0.029244539250194573,1.0881907
1010001N08Rik,0.003028941548721109,2.1762757
Tmsb10,0.028841434359740535,0.71103644
Tgfbr2,0.0032594057589518024,4.6170297
Rps27rt,0.02997942871835649,0.5936256
Pdia2,0.002997445933973947,2.4463394
Csnk2a2,0.03152244482032182,2.925619
Smo,0.0033431943087995834,3.653979
Rps26,0.029495695507239603,0.43624514
Herc2,0.0032430949327833807,2.6182015
Ghrl,0.031945048930550494,1.4782448
Ces2g,0.0033267580715435623,3.2094285
H2-Q2,0.030916435899092314,1.0161979
Chac1,0.0034276845959798187,4.682735
Pcbp2,0.030086725844858345,0.47713968
Sdr39u1,0.0033785503331954614,2.093494
Fdx1,0.031736021310628804,1.0087786
Ppp1r15a,0.003539652642063478,2.4687228
Ptpn18,0.03193829109316639,0.94281566
Sdccag3,0.0035149732193521075,1.5498834
Gdi1,0.03269399261128781,1.2090876
C4bp,0.0034912779480535893,1.8251129
Syap1,0.03360134368499431,2.1304028
Fabp2,0.0038032421675639515,0.6800804
Myadm,0.03407388052177088,2.5657868
Nt5c2,0.003902106301348941,26.150024
Trappc2l,0.03303673181604837,0.77223265
Dnajc12,0.0035934632452832866,1.6547306
Tapbpl,0.03534458105988295,1.8702643
Mecr,0.003673385989183764,1.1901073
Srsf11,0.033610229878082466,0.6018213
Ddx28,0.004077250515736142,2.9302883
Gatb,0.03640373009784407,2.793031
Gorasp1,0.003958392257087256,2.5058873
Rpl35a,0.034404370789716525,0.4342873
Hmbox1,0.003956016857773286,2.003438
Bscl2,0.03543475513389038,0.9183378
Kri1,0.004156102254545541,2.8391912
Derl2,0.03561963271084839,0.896629
3110002H16Rik,0.004267970848030512,3.2812574
Adgra3,0.03673866549522736,1.7527937
Zfp667,0.004140234473737676,1.9760101
Hint3,0.03598546767583228,0.9815631
Epha4,0.004391257265415701,24.917122
Rnf214,0.03743117557763004,1.5602169
Asns,0.004159965856871576,0.987078
Med12,0.04016211385915057,2.5518205
Golt1a,0.004414183406595721,25.142855
S100g,0.040121824223022615,2.7479916
Fastkd2,0.004102609063238191,2.2232773
Tnpo2,0.041347427397522785,2.1903088
Acap2,0.004581463288137896,2.196901
Clca1,0.04166236942526054,1.4217085
Uhmk1,0.004629217766179964,2.0867412
Retnlb,0.042482621964972114,3.4369729
Mocs1,0.004950584424201454,25.447548
Adh1,0.04109097123720869,1.3713185
