,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Gm11592,-1.0261278,,,0.9731154578072901,1.0,,-1.0261278
Gm32569,-1.0334665,,,0.9731154578072901,1.0,,-1.0334665
Pnpla1os,-0.9110749,,,0.9731154578072901,1.0,,-0.9110749
Gpc2,-1.136744,,,0.9731084400865567,1.0,,-1.136744
Klhl6,-1.0547224,,,0.9731084400865567,1.0,,-1.0547224
Sept12,-0.9617406,,,0.9731084400865567,1.0,,-0.9617406
Lin28b,-0.9752148,,,0.9731084400865567,1.0,,-0.9752148
Gm26785,-1.0365281,,,0.9731014223679051,1.0,,-1.0365281
1300017J02Rik,-1.1895179,,,0.9731014223679051,1.0,,-1.1895179
Slc28a1,-1.1128237,,,0.973094404651336,1.0,,-1.1128237
Gm9847,-0.914322,,,0.9730873869368498,1.0,,-0.914322
Gm12359,-0.26773462,,,0.9730733515141285,1.0,,-0.26773462
Cd244,0.4430901,,,0.973069842659751,1.0,,0.4430901
Tmem154,-0.22515014,,,0.9729786126290794,1.0,,-0.22515014
Gm26532,-0.18633562,,,0.9729575595952411,1.0,,-0.18633562
Tmco6,-0.04388322,,,0.972929488912769,1.0,,-0.04388322
St8sia3os,-0.30667108,,,0.972922471247389,1.0,,-0.30667108
Rrh,-0.36099073,,,0.9729154535841052,1.0,,-0.36099073
Timp1,-0.34138665,,,0.9729084359229182,1.0,,-0.34138665
Cpvl,-0.5339727,,,0.9728803652991495,1.0,,-0.5339727
Gm8923,-0.46952403,,,0.9728733476484547,1.0,,-0.46952403
Gm16576,0.10952062,,,0.97286632999986,1.0,,0.10952062
Piwil4,0.053053644,,,0.9727680831403462,1.0,,0.053053644
Extl3,-0.07320687,,,0.9727049246630513,1.0,,-0.07320687
Rcan3,-0.07317573,,,0.9725891345661727,1.0,,-0.07317573
Zfand4,-0.015289278,,,0.972522467802615,1.0,,-0.015289278
Cyp2c55,-0.59169525,,,0.9725119414890644,1.0,,-0.59169525
Celf3,-0.2190572,,,0.972354047361401,1.0,,-0.2190572
Csgalnact2,-0.031307526,,,0.9722908900133688,1.0,,-0.031307526
Plekhm3,-0.120849445,,,0.9722873812769025,1.0,,-0.120849445
Ceacam20,0.038145836,,,0.9722136979351113,1.0,,0.038145836
Ptk7,-0.08394643,,,0.9721996630397348,1.0,,-0.08394643
Gm16386,-0.3903052,,,0.9721786107128129,1.0,,-0.3903052
Ptprg,-0.026585402,,,0.9717435336512056,1.0,,-0.026585402
Soga1,-0.24313848,,,0.9716909039290338,1.0,,-0.24313848
Tbc1d25,-0.08334811,,,0.9715049465661969,1.0,,-0.08334811
Kbtbd3,-0.06994313,,,0.971469860444732,1.0,,-0.06994313
Urb2,-0.038269904,,,0.9714102141649986,1.0,,-0.038269904
Syn3,-0.20142636,,,0.9712909220855869,1.0,,-0.20142636
Fbxl22,-0.16789249,,,0.9710347971473238,1.0,,-0.16789249
5033403F01Rik,-0.13181268,,,0.970971643511047,1.0,,-0.13181268
Sh3bp4,-0.030313525,,,0.9709365582361857,1.0,,-0.030313525
Fam89b,-0.018259672,,,0.9707821836959247,1.0,,-0.018259672
Zcchc2,-0.08367546,,,0.9707681497010071,1.0,,-0.08367546
Supt7l,-0.05257325,,,0.9706348272013533,1.0,,-0.05257325
C2cd4d,-0.13013393,,,0.9705892170607303,1.0,,-0.13013393
Slc7a7,-0.03406671,,,0.970417302781137,1.0,,-0.03406671
Rttn,0.033208378,,,0.970273457194978,1.0,,0.033208378
Pon3,-0.030275995,,,0.9699787521901894,1.0,,-0.030275995
9230104M06Rik,-0.37640733,,,0.969803334488225,1.0,,-0.37640733
Cr2,-0.3027448,,,0.9697963178104778,1.0,,-0.3027448
Nup62cl,0.02837251,,,0.9697893011350688,1.0,,0.02837251
Cracr2a,-0.48967648,,,0.969775267791267,1.0,,-0.48967648
Gm28040,-0.56267303,,,0.9697682511228753,1.0,,-0.56267303
Spdya,-0.55269915,,,0.9697682511228753,1.0,,-0.55269915
0610043K17Rik,-0.46656024,,,0.969761234456824,1.0,,-0.46656024
Klrb1a,-0.46417195,,,0.9697542177931134,1.0,,-0.46417195
5031415H12Rik,-0.94086814,,,0.9697542177931134,1.0,,-0.94086814
Klb,-0.6606507,,,0.9697542177931134,1.0,,-0.6606507
March4,-0.7141995,,,0.9697542177931134,1.0,,-0.7141995
Pnma1,-0.56137747,,,0.9697472011317442,1.0,,-0.56137747
Akr1b10,-0.065374315,,,0.9697436928019377,1.0,,-0.065374315
Zfp810,-0.060868632,,,0.9697436928019377,1.0,,-0.060868632
Ackr4,-0.64743197,,,0.9697401844727168,1.0,,-0.64743197
Clic3,-0.862893,,,0.9697401844727168,1.0,,-0.862893
Sobp,-0.6411578,,,0.9697401844727168,1.0,,-0.6411578
Fam102b,0.13474108,,,0.9697331678160319,1.0,,0.13474108
Alox12b,-0.73698086,,,0.9697331678160319,1.0,,-0.73698086
Mill2,-0.84920156,,,0.9697331678160319,1.0,,-0.84920156
Mmp20,-1.0067881,,,0.9697331678160319,1.0,,-1.0067881
Rnf148,-0.8895341,,,0.9697261511616899,1.0,,-0.8895341
Gm28723,-0.99138594,,,0.9697191345096914,1.0,,-0.99138594
Platr5,-0.73470515,,,0.9697191345096914,1.0,,-0.73470515
Sh2d2a,-0.8504476,,,0.9697121178600369,1.0,,-0.8504476
Gm26809,-0.8830798,,,0.9697121178600369,1.0,,-0.8830798
Prkcg,-0.80514485,,,0.9697121178600369,1.0,,-0.80514485
