,logFC,P.Value,adj.P.Val
mt-Co3,0.15181874,2.1423728197362697e-09,4.1371337979368643e-07
Clca3b,0.582139,4.063905385051178e-09,7.362372096031377e-07
Hsdl2,0.9323939,2.508635941575849e-09,4.7402429463776765e-07
Rps19,0.13820662,4.283963163280091e-09,7.604250976598084e-07
Ube2s,0.47421837,2.4882850546211193e-09,4.7402429463776765e-07
Rpl23a-ps3,0.20930915,8.286398142227211e-09,1.3868273766986552e-06
Lpcat3,0.58789915,2.6658619722554734e-09,4.983743876430366e-07
Ang4,0.99585646,7.919470289224441e-09,1.3381620326205874e-06
Rbp2,1.0293481,3.337157584900193e-09,6.108736483276156e-07
Rpl6,0.11480519,9.113194739008977e-09,1.5108129353641958e-06
2210407C18Rik,0.9304659,4.413126380126451e-09,7.755186987796212e-07
Rps12-ps3,0.19638233,1.0375447099802678e-08,1.6587479091280745e-06
Chchd2,0.14223328,4.136648811208685e-09,7.417686689731655e-07
Rpl7a-ps5,0.31622544,1.4273573337122012e-08,2.2197301261349124e-06
Ranbp1,0.38218647,4.641419216403909e-09,8.075609890085733e-07
Ndufa6,0.23160711,2.2811829147846667e-08,3.3972226577551652e-06
Oaz1,0.15249528,5.4456993159060335e-09,9.382085693962424e-07
Rps24,0.10805495,2.446567412712217e-08,3.5827940952993157e-06
Birc5,0.7245522,7.4202775052843e-09,1.2659857922365146e-06
Sis,0.97269785,2.4202591723577346e-08,3.574051633264073e-06
Acaa1b,2.484046,1.0060983106055514e-08,1.637052371506607e-06
Rpl17,0.11780966,2.5795915923236585e-08,3.7463771117275745e-06
Cyp2c65,1.2719153,9.376731599723564e-09,1.5399748074947867e-06
Rplp0,0.10663201,3.024592977632734e-08,4.218347015550797e-06
Eif1ad,0.58963823,1.0383103056056916e-08,1.6587479091280745e-06
Rpl28,0.1233019,3.725743339265995e-08,4.997899824497812e-06
Edf1,0.21864071,1.1012817458336127e-08,1.7434976684264933e-06
Mgam,0.47156835,4.130077431213354e-08,5.498322022629717e-06
Etfb,0.32339308,1.3110920197809613e-08,2.0571267913938242e-06
Slc5a1,0.6929903,6.995780807404319e-08,8.908467835399716e-06
Haus7,0.92873085,1.4936870615336787e-08,2.2824837158548986e-06
Sepp1,0.905273,8.174067260296724e-08,1.0334020429150672e-05
Eif5a,0.21276759,1.4855493726382949e-08,2.2824837158548986e-06
Gm10073,0.20638192,9.279623049740581e-08,1.1330880836454817e-05
Atp5g1,0.17481944,1.67992573236528e-08,2.544942663349575e-06
Rps10,0.10872948,9.408942374111923e-08,1.1402989264846126e-05
Ppp1r14b,0.33676222,1.9672836245420978e-08,2.9547927465024174e-06
Rpl6l,0.24537896,9.589136711388103e-08,1.1541773933508434e-05
Defa17,0.83714116,2.856460710170407e-08,4.08102309429468e-06
Rps21,0.15692592,1.0394884104004321e-07,1.2342520159437022e-05
Mrpl20,0.32812026,2.841956271020324e-08,4.08102309429468e-06
Gm11808,0.20917715,1.5199785816197459e-07,1.745789778745346e-05
Kif5b,0.33869466,2.9595255629642818e-08,4.165439377440154e-06
Ndufa1,0.27680475,1.554863818018093e-07,1.7742611606514254e-05
Map2k2,0.32059872,2.9629540896831457e-08,4.165439377440154e-06
Cox8a,0.1196656,1.6576375942385508e-07,1.8506804323420037e-05
Lrrc59,0.41169465,3.306872640534653e-08,4.575722276544524e-06
Rps2-ps6,0.28797093,1.931156446036587e-07,2.121013264137559e-05
Cotl1,0.3943215,3.4537543039505674e-08,4.741626904947134e-06
Nptn,0.7077319,1.888312962531462e-07,2.0870014899726653e-05
Defa21,0.54506654,3.497903761946159e-08,4.765012620827896e-06
Gas6,0.594076,4.4701172018722766e-07,4.620786446382442e-05
Prelid2,0.57415885,3.5928054583066504e-08,4.8566438706786745e-06
Slc12a2,0.4106915,5.45135206603206e-07,5.569570340487291e-05
Gsto1,0.29998913,4.441784055071436e-08,5.868832421035365e-06
Pabpc1,0.18072556,5.731164388841945e-07,5.821604150584942e-05
Ces2e,0.70637274,4.994193360484921e-08,6.549474621179218e-06
Npm1,0.2140438,7.941569349195322e-07,7.626076402918546e-05
Srsf5,0.35656908,5.156942413158233e-08,6.712811038994788e-06
H2-T23,0.6664774,7.784670505698798e-07,7.516484329485987e-05
Tomm40,0.3993674,5.329880783251735e-08,6.886911397359025e-06
Gm10076,0.17544667,8.539775507897758e-07,8.050020683188231e-05
1110008F13Rik,0.2793468,6.877209239034819e-08,8.821401310770721e-06
Rpl3,0.11895018,8.327867281816656e-07,7.953565855617615e-05
Jund,0.3942916,8.233473694297312e-08,1.033477380213476e-05
Rpl30,0.09759533,9.028659106557636e-07,8.439395025507305e-05
Cdc34,0.5275698,8.838577589073351e-08,1.1015625813672765e-05
Hspa8,0.21807921,9.530620006026178e-07,8.72299923780719e-05
Tmem266,1.2037593,9.693462161819245e-08,1.158797350813943e-05
Cox7c,0.12707639,9.403619396730246e-07,8.685558367013999e-05
Ucp2,0.27282086,8.960607777776594e-08,1.1089067639356908e-05
Ceacam1,0.4141731,9.440287077332692e-07,8.685558367013999e-05
Cyp2c66,3.415724,1.1749584338857632e-07,1.3857412455486253e-05
Tnfsf10,0.9747326,1.016604157617049e-06,9.208651990620825e-05
mt-Co2,0.14874932,9.284964664254788e-08,1.1330880836454817e-05
Rps27a,0.08441683,1.1043643294097302e-06,9.851266172952887e-05
Erh,0.23195477,1.2137633395935751e-07,1.4219642111118598e-05
Mlxipl,0.5003943,1.0948602509137418e-06,9.816315912911828e-05
Hint1,0.15548897,1.2228890119521209e-07,1.4231674574195114e-05
Gm2000,0.2368164,1.1283945429701093e-06,0.00010014786516976632
Defa22,0.5208804,1.3798091693480378e-07,1.5952227982205965e-05
2010107E04Rik,0.17882137,1.1814280600947842e-06,0.00010362959952168928
Acadl,0.52964044,1.5768875723638855e-07,1.787783568332294e-05
Arhgef38,0.6406718,1.1853155126534767e-06,0.00010362959952168928
Psmd7,0.35411,1.6238650091482758e-07,1.8292422952411955e-05
Rps14,0.095823385,1.6075795970917657e-06,0.00013516744621862965
mt-Cytb,0.14435016,1.6639589615321036e-07,1.8506804323420037e-05
Scin,0.69842184,1.8524518709216576e-06,0.00015361326798936332
Gstm3,0.94021577,2.589883162345184e-07,2.7638158745955077e-05
Irf2bp2,0.45350707,2.0190782015771376e-06,0.00016426509831627334
Ppih,0.4870118,2.504663537651836e-07,2.7338169159724048e-05
Scamp1,0.58320695,2.152560995327804e-06,0.00017431776207785943
Ict1,0.38307118,2.548729031358811e-07,2.7638158745955077e-05
Rps13,0.09383882,2.413106257926209e-06,0.00019275234668426032
Mrto4,0.47948134,2.5897597211872327e-07,2.7638158745955077e-05
Cyba,0.43640694,2.4505870020620494e-06,0.0001948073970172726
Arpc5l,0.40317467,2.595058437991571e-07,2.7638158745955077e-05
Uqcrh,0.10230345,2.461005072431259e-06,0.0001948073970172726
Eif4e,0.46654058,2.7085095169060844e-07,2.8672673337705192e-05
Eif4b,0.27541283,3.311014410716662e-06,0.00024344960769675272
Pgp,0.3298527,3.033545500348703e-07,3.192125453750165e-05
Cox6b1,0.13141932,3.364821406661837e-06,0.0002463750274136186
Tpi1,0.23774254,4.244221574115152e-07,4.43950629297176e-05
Amph,1.3640141,3.6434438357454386e-06,0.0002634824630681259
Gpx2,0.25184923,4.400934603284693e-07,4.576190756421415e-05
Sdc4,0.320578,3.772001367585842e-06,0.00027157080665684695
Fkbp4,0.2631749,4.5534487332427486e-07,4.679400853173966e-05
Tnpo2,0.9205853,3.7861974410133444e-06,0.00027157080665684695
Cyp4a10,3.4222963,6.524759839717136e-07,6.551977409334241e-05
Ypel3,0.617696,5.445218814729626e-06,0.00038123039932766423
H2-Ab1,1.345392,6.617644684699358e-07,6.607492616148967e-05
Lzts3,1.3827822,6.540861391967096e-06,0.0004507551264354423
Lyar,0.42392176,6.122402906395429e-07,6.183275073223383e-05
Rps23,0.09563165,7.022887147717049e-06,0.00048020698773086265
G3bp1,0.30814195,6.671685329219108e-07,6.623815044653525e-05
Rpl11,0.079031765,7.901383236928872e-06,0.0005299656779486682
Mettl7b,0.8461757,7.063885261339689e-07,6.934841100420243e-05
Socs2,0.41218713,8.993025919815012e-06,0.0005939247558402647
Pex11a,0.73010606,7.008085229334554e-07,6.918712457027872e-05
Smim24,0.3317983,9.023952074736852e-06,0.0005939247558402647
Hsd17b11,0.56868666,7.404375036878996e-07,7.228726806837478e-05
Rpl9,0.08535016,1.008358404144245e-05,0.0006538688328353358
Por,0.7284436,7.558843588011897e-07,7.338760131057075e-05
Glud1,0.35008258,1.088954614263319e-05,0.0006908375247815633
Cdca3,0.5538028,8.495400586316727e-07,8.050020683188231e-05
Ndufa3,0.2432492,1.2668493273380499e-05,0.0007922542074488097
Psmc2,0.43645996,8.566288441109652e-07,8.050020683188231e-05
Eef1a1,0.08412285,1.2956319913392942e-05,0.0008045279499577887
Eci2,0.41957498,9.433573332892738e-07,8.685558367013999e-05
Sord,0.47604644,1.3331680745017651e-05,0.0008193883091624172
Eif6,0.28247967,9.588352062101218e-07,8.730368434575373e-05
Igf2bp2,0.67703706,1.4690104861392457e-05,0.000893249871035466
Cnbp,0.24838701,1.0325764981196141e-06,9.305367590490246e-05
Lpp,0.45773673,1.941270289290733e-05,0.0011221691708455936
Aadac,0.6149315,1.1633965526939772e-06,0.00010273551568086061
Slc25a37,0.6311317,2.09058263267903e-05,0.0011966712900348074
G0s2,3.9572437,1.441410164533984e-06,0.00012356049181149123
Igfbp7,4.2947664,2.20737924863719e-05,0.0012553487228576484
Nudc,0.37373412,1.3019660379875353e-06,0.0001132645999284899
