,logFC,P.Value,adj.P.Val
Sis,1.9712857,3.6670138945091263e-270,3.7906138334240514e-267
Fabp1,3.4831717,0.0,0.0
Pigr,0.4943296,1.155581416666154e-252,1.0687911702670698e-249
Defa24,1.3421429,0.0,0.0
Smim24,0.9213952,2.3192148220855648e-244,2.0377781034254815e-241
Acot1,2.2967956,0.0,0.0
Sepp1,2.2961183,1.0083016568470315e-235,8.437564293225183e-233
Gm15284,1.6671109,0.0,0.0
Rpl41,0.2250487,2.420437346927109e-230,1.933379340797731e-227
Lyz1,1.8869123,0.0,0.0
Oat,0.515863,1.1179635696749973e-219,7.858389523959491e-217
Hmgcs2,2.1241436,0.0,0.0
Plac8,0.4628271,1.5201494449845646e-220,1.1130660915297397e-217
Fabp2,1.1244975,0.0,0.0
Serinc3,0.67250067,1.7025100489941538e-206,9.972736363658088e-204
Itln1,1.5792289,0.0,0.0
Txnip,1.0514369,1.2255784577552022e-186,6.526390981252173e-184
Gm14851,1.6602098,0.0,0.0
Cox6c,0.25513533,9.500384885782728e-177,4.910301870525291e-174
Gm14850,1.2924497,0.0,0.0
Pdcd4,0.7823683,4.972085888062318e-149,1.9416547846870915e-146
Creb3l3,2.8464472,0.0,0.0
Gm8730,0.28999615,2.4962762517683e-144,9.333417568579646e-142
Defa17,1.3399246,0.0,0.0
Rpl23a,0.16206618,1.5383053684556238e-143,5.631800049973059e-141
Scd2,1.8011158,0.0,0.0
Rps27,0.22504565,1.8799557692364278e-142,6.477737790743479e-140
AY761184,1.2307531,1.1285575755477132e-301,1.4165815910785688e-298
Rps29,0.20219092,1.3263867605680412e-133,4.237926280629489e-131
Dhrs4,0.7562838,3.796886130157755e-284,4.1701674978288894e-281
Mgam,0.6882739,2.4437972794629364e-131,7.534184138947751e-129
Hsp90aa1,0.80085284,3.958023011582703e-286,4.636955892169523e-283
Mlxipl,0.773355,1.965140052115626e-127,5.661214120627524e-125
Ech1,0.8215814,7.833498934874446e-260,7.647670932363812e-257
Rps28,0.23242536,1.321419411114741e-126,3.6859211605586256e-124
Gm7861,1.4737006,2.1737824363120085e-228,1.660864293622214e-225
Rpl37a,0.19194694,9.002603211057806e-121,2.3612350183271467e-118
Acaa2,0.7252373,1.2189856786410698e-216,8.238936665676737e-214
Slc5a1,0.9202107,1.9283890864602204e-119,4.9834678553478605e-117
Me1,2.2848766,9.321047544987175e-215,6.066621055854061e-212
Aldob,0.6136515,5.80288381336817e-116,1.4567725321759837e-113
Nme1,0.4476842,5.875771799702523e-214,3.6876763512918727e-211
Rplp2,0.14023452,7.613269354803488e-112,1.858166421832801e-109
Acadl,1.0557426,3.212126117497208e-211,1.9464376642337393e-208
Rpl39,0.18582122,7.855831032528996e-111,1.8911029963648226e-108
Acadvl,0.84408116,2.594006064093453e-202,1.4704667278811048e-199
Khk,0.7086208,4.4071826271373154e-103,9.803470924896715e-101
Etfb,0.5952847,5.426156656117987e-189,2.9798078411862935e-186
Eef2,0.21460219,7.336290571708977e-103,1.611507927708023e-100
Retsat,1.1138449,2.793531840084344e-174,1.4025924293086334e-171
Rps26,0.19755392,5.992405214698214e-101,1.284201668754777e-98
Gpx2,0.486455,7.008662696615402e-170,3.4212008213228455e-167
Rpl9-ps6,0.26102716,1.0789196800016774e-100,2.284319944177045e-98
Ckb,0.9256829,2.0166331153222123e-165,9.57791722582628e-163
Rpl36,0.17705111,1.1753182918032312e-100,2.4587938502212123e-98
Hspe1,0.25446033,2.9452299108548955e-163,1.3620138216698178e-160
Cox8a,0.17642973,2.393698121728163e-99,4.834995068175748e-97
Akr1b8,2.0134625,2.979530354104858e-161,1.3425458182739658e-158
Fau,0.12024739,3.2416523282983626e-99,6.473358677862173e-97
Ran,0.35689685,7.030645870875524e-160,3.013403411924283e-157
Rpl32,0.13294262,7.693892998935826e-98,1.4538148566698848e-95
Hadhb,0.67367864,1.0156197284891075e-159,4.2494013068426396e-157
Sdc4,0.4755857,5.221634252348418e-97,9.761678586863696e-95
Ptpn6,1.549505,6.066265721323644e-160,2.66506218802051e-157
Rpl10a,0.14851384,6.815976877721855e-97,1.260812228128486e-94
Mgll,2.9877589,1.038669456498471e-150,4.2447763625692165e-148
Eef1a1,0.1484544,1.4041597140484244e-94,2.5178876178543837e-92
Ranbp1,0.44931903,1.491081417696238e-149,5.955175852994544e-147
S100g,1.5497309,2.4887761648216734e-93,4.408362149712057e-91
Eif5a,0.31712034,5.382304709343912e-148,2.0561574055934908e-145
Wdr89,0.23423734,2.2845963852202444e-92,3.897787599754889e-90
Nhp2,0.44874513,9.196975084858315e-143,3.232368863324303e-140
Rpl23a-ps3,0.24811395,1.4343937747175254e-90,2.37798130218029e-88
mt-Nd1,0.256809,3.838095080297473e-143,1.3764662213483161e-140
Rpl37,0.16648047,6.619160603361356e-89,1.0574409934806282e-86
Hspd1,0.3826736,2.4041965990866853e-137,8.124797468413523e-135
Rpl22l1,0.19498342,1.263444349421086e-88,1.9306528306414557e-86
Defa20,0.66689974,3.3993084526140864e-136,1.1270952346752328e-133
Rps15a,0.12893276,1.1685728258682748e-88,1.8013447604371222e-86
Mif,0.39391482,7.573508442938395e-135,2.4646159975510448e-132
Rpl35a,0.13196324,2.340720554011161e-88,3.5156822474904384e-86
Erh,0.30070874,1.81423014297205e-133,5.69311898257997e-131
Zfos1,0.47668254,6.381540801311587e-88,9.423766092558698e-86
Tomm5,0.3762802,1.3450719067224233e-130,4.075335968419508e-128
Txn1,0.24355064,4.31356992936824e-87,6.113093900708715e-85
Lrrc59,0.64390916,4.486572894655236e-129,1.3363143301318045e-126
Rps19,0.13600355,1.2052623344786226e-85,1.654693359671315e-83
Tubb4b,0.81378394,9.732328744586173e-128,2.8504368838102137e-125
Rpl22,0.1481091,2.5688308987922727e-85,3.472466568036662e-83
Fkbp4,0.3969859,1.2359990097198847e-126,3.503259773839925e-124
Mfsd4,1.5642135,2.2682868429717907e-81,2.8676694022693005e-79
Clps,1.5488589,1.4331160088891542e-124,3.9350230662826727e-122
Rps2-ps6,0.33912674,1.1025101291310674e-81,1.4245890072956066e-79
Angptl4,1.5623945,4.763889192533797e-123,1.2879357658522526e-120
Rps18,0.11877641,9.148087373894238e-81,1.1401371590173294e-78
Chchd2,0.18724215,1.2460936257551382e-121,3.3178186796053094e-119
Rpl35,0.16591091,9.041430135464218e-80,1.1110842781154735e-77
Cst6,1.1497387,6.713094266288134e-118,1.7096986310359619e-115
Rps18-ps3,0.30810228,1.007683716190169e-77,1.1964882395006647e-75
Eci2,0.64961314,3.863947247425544e-114,9.563541546339307e-112
Btg1,0.5712042,1.6703149990034416e-76,1.9310819393083865e-74
Hsdl2,1.055844,4.9197513222230624e-110,1.1683079727760253e-107
Rpl36a,0.16711451,1.389056656247336e-76,1.6165491801479761e-74
Calr,0.41148698,1.4598994105938293e-105,3.420641645648715e-103
Tnfsf10,1.2176403,7.607274733542455e-75,8.252014746453183e-73
Aldh9a1,0.60575706,3.646576514851853e-104,8.431748565196264e-102
AY036118,0.58370113,6.850000179416623e-75,7.476711375955796e-73
Mrpl20,0.4325841,3.8763922070020057e-103,8.846732500473539e-101
Rpl27a,0.11799299,8.947559267300859e-75,9.646347178176563e-73
Cacybp,0.5338563,4.1072946662516634e-103,9.253524252569292e-101
