,logFC,P.Value,adj.P.Val
Rpl41,0.18762015,2.5761214188800005e-16,2.5150100941099025e-13
Defa24,1.5924503,6.494684508452595e-138,5.706554543351873e-134
AY036118,0.8029133,1.69148883621665e-13,1.2923710138623998e-10
Lyz1,2.2237566,9.93367073618563e-140,1.7456439584699005e-135
Rps29,0.20449676,5.891563316408914e-13,4.3138517566355773e-10
Gm15284,1.8022107,2.387294455709587e-121,1.3983975156728193e-117
Gm42418,0.6243883,9.976358751219385e-13,7.01258209340713e-10
Fabp1,2.1444488,2.136971323313021e-81,9.38824926614493e-78
Rps27,0.22459684,2.3929631829995355e-11,1.450053172925891e-08
Itln1,1.9265614,3.3478933619021265e-81,1.1766506009741215e-77
Cbx3,0.7503532,6.15301391564528e-11,3.60423045132115e-08
Gm14851,2.0020745,9.130671451812896e-77,2.6742214903784674e-73
Rplp1,0.22014332,1.5546055292461226e-10,8.53721342670066e-08
Gm14850,1.6060526,1.3184497762922621e-68,3.309873988397703e-65
Rpl23a,0.17279886,2.5515968706494204e-09,1.1918508272562963e-06
AY761184,1.4662842,2.045591464015897e-54,4.49339734964392e-51
Rpl38,0.20488848,2.6828914600660623e-09,1.2088833750702797e-06
Defa17,1.5063264,3.8737494227746935e-53,7.563710956268854e-50
Rpl39,0.23726317,3.819938343315189e-09,1.6372628416360444e-06
Defa20,0.93998855,9.855949188665999e-33,1.731985950924276e-29
Gm10073,0.39396796,4.963227201841046e-09,1.9822452640443796e-06
Gm7861,1.4822558,4.066187343153284e-28,6.495919107384787e-25
Rpl37a,0.1711101,2.5400082756876172e-08,9.299076130970521e-06
Defa21,1.087654,5.173631015047892e-28,7.576351485619718e-25
Rpl36,0.19569853,2.955412610775117e-08,1.0599074654928801e-05
Fabp2,1.016501,8.28067353380612e-25,1.1193559693044226e-21
Rpl34,0.15834545,3.803156669066014e-08,1.3104484734411187e-05
Defa22,0.9215155,1.728122057365916e-21,2.1691634938636603e-18
Rpl35a,0.14290205,5.670848857250839e-08,1.880260886197528e-05
Ubb,0.24033442,2.3036259545748675e-18,2.6987745933162764e-15
Rps28,0.19241402,9.462889032312002e-08,2.8184974400816747e-05
Clps,1.1569359,1.9550445003274526e-17,2.1472498127658953e-14
Rps27rt,0.46770006,1.840129020868161e-07,5.132791632335903e-05
Defa-rs1,1.6897658,2.5102001381974852e-17,2.5948086487379065e-14
Pigr,0.53592396,3.96420812782696e-07,0.00010397467079149726
Cdkn1c,0.96746397,1.8777337867172464e-15,1.7367060965253773e-12
Nptn,0.609166,4.1758569590243824e-07,0.00010791519756019922
Defa26,1.6374316,1.731701677977043e-14,1.5215596793545288e-11
Wdr89,0.29504564,1.249028513968944e-06,0.0002926557076796834
Gm15308,0.7768977,1.835837141235246e-14,1.5362460039489038e-11
Slc18a1,0.56570053,1.370280002081974e-06,0.0003168411904814017
Defa3,1.6141019,1.0953876457330566e-13,8.749657772030456e-11
Gm8730,0.31157097,1.5461051206534345e-06,0.0003528533153927637
Chchd2,0.18086027,3.674209951873085e-12,2.4833419801640663e-09
mt-Nd5,0.39011854,1.8803822813208118e-06,0.0004236404849955208
Gnas,0.26491696,1.2688490703187532e-11,8.258327671374611e-09
Dynlt1c,0.41963318,2.756136085901388e-06,0.0005765902313993463
Sct,0.83128405,2.0331397294371683e-11,1.2760130166214058e-08
Rpl37,0.13872461,2.952556667236096e-06,0.000609364288591945
Ang4,0.773923,1.1604871705234619e-10,6.578464854067353e-08
Fabp6,2.4271572,3.887693924022118e-06,0.0007590938369648965
Spink4,0.4983037,3.0958099082753614e-10,1.6485656823673613e-07
Gm9843,0.25379843,4.744498058329072e-06,0.000916209498670514
Ppa1,0.5456685,6.361831637765449e-10,3.288131393248595e-07
Gm2000,0.39988717,5.098134517390139e-06,0.0009628296984197002
Mtch1,0.38132766,1.3846694941360366e-09,6.952227720129305e-07
Zfos1,0.47836447,5.214491876422672e-06,0.0009645712183618487
Ppia,0.17550406,1.4671092454412925e-09,7.161530769483286e-07
Rpl6l,0.3447694,6.777179892289654e-06,0.001215259002522511
