,logFC,P.Value,adj.P.Val
Gnb1l,0.45416373,0.0011965550178488962,0.00769658174548267
Elmod2,0.50308025,0.0033118715552296193,0.018175989643988165
Naa38,0.12104002,0.0012027603724589849,0.007733665578200417
Zfp580,1.4399847,0.003340743401853408,0.01832299744093943
A330102I10Rik,0.94558537,0.001210627606409345,0.007778559022826845
Cxxc4,1.5750059,0.00336601018314163,0.01844026126224847
Acacb,0.7927345,0.0012133810982121935,0.007793401330001051
Gpld1,0.2771453,0.0033686092178411495,0.01844704574170225
Pitpnb,0.22748905,0.0012148341172484778,0.007793978456462261
Chkb,0.21373089,0.003375784389456827,0.01848057915137845
Clptm1l,0.17780979,0.001214990274584968,0.007793978456462261
Lpar6,0.25609523,0.0033962917194798716,0.01857548533657634
Twistnb,0.16932495,0.0012180115605011745,0.007808871635420336
Marveld1,0.5071595,0.003411343552627229,0.0186402708815959
Alg14,0.26860717,0.0012205297817297022,0.007822162601873106
Usp6nl,0.35204437,0.0034122980614038254,0.0186402708815959
Fam53a,0.19789796,0.0012309483862764244,0.007886057598263071
Pttg1ip,0.18184413,0.0034366374700731616,0.018766945388935884
Adat1,0.43328193,0.0012387105033834188,0.007927115686801463
H2-T3,0.20844544,0.0034570471496843907,0.018866673776833476
Pld6,0.74346036,0.0012530668469931045,0.008010237796365888
Wdr45b,0.21874236,0.003477526763372286,0.018960774996196455
Sdhb,0.09715852,0.0012789200345956833,0.008169560802599035
Gm16536,0.4763252,0.0034846386719397456,0.018993658617244773
Mybl2,0.40302962,0.0012871285241499101,0.008213039054061863
Zkscan17,0.27586812,0.0034898005925941148,0.01900411088120743
Spag5,0.32323745,0.0012954777290678844,0.008260315723116812
1500035N22Rik,1.3487824,0.0034896100968942623,0.01900411088120743
Ppfia1,0.27620488,0.0012954312016314818,0.008260315723116812
Aldh6a1,0.34482396,0.0034963911472902127,0.019014481560943694
Cox11,0.32089743,0.0013023922206717533,0.008301392271985753
Cstf2t,0.31960186,0.003497664319869045,0.019014481560943694
Slc35a3,0.2111207,0.0013253885059889192,0.008429624399472774
Krit1,0.17779416,0.003498872519045146,0.019014481560943694
Supt16,0.18078525,0.0013340437967397153,0.008476071628357996
Gm15675,1.4560264,0.003497010298598401,0.019014481560943694
Alg5,0.15317619,0.0013341545604729802,0.008476071628357996
Itpr3,0.19858141,0.0035003612274314487,0.019014481560943694
Mrpl4,0.1449848,0.0013387075338989532,0.008492818589605164
Zfp646,0.26281807,0.003512011354099558,0.019071871299626557
Agpat3,0.21199593,0.0013801652612439562,0.00873690350714699
Lars2,0.26436722,0.003528370794231116,0.019141568042600556
Kcnf1,0.6900979,0.0013933002201040893,0.008810530682939605
Sdr16c5,0.97572625,0.0035360660782586353,0.01917287540673835
Iws1,0.22422291,0.0013921741258607493,0.00880975005896685
Krt10,0.23816785,0.003544021265715305,0.019204158403458235
Colgalt1,0.2223956,0.0013931402844397692,0.008810530682939605
Nr3c2,0.5674065,0.003543731370294248,0.019204158403458235
Mrps30,0.16714221,0.0014005446937421313,0.008843611894764812
Ccdc73,0.8272876,0.003555485580622574,0.01925440619669661
Cebpz,0.1633813,0.0014089001990181336,0.008886792245996289
Mast4,0.29087934,0.003562873398784635,0.019276593053215024
Dhx29,0.4007918,0.0014162723494870269,0.008926884504137563
Fnip1,0.3019075,0.0035741407177820217,0.01933160198017343
Ccdc25,0.2024307,0.0014441327720581226,0.00908619591957658
Gm14322,1.7756933,0.0035821498920205995,0.01936300216932574
BC030867,0.48573697,0.0014825247634912312,0.009307755508692893
Gatad2b,0.18641412,0.0035990544571553253,0.019436442524766603
Tspan3,0.1098056,0.001490501932761708,0.009344484646600605
Tbk1,0.29253367,0.0036035175047504403,0.019446014956763055
Pmpca,0.21343425,0.0014938116624540242,0.009359321489595313
Eci1,0.113365956,0.003612396984880015,0.01948454641353484
Ncapd2,0.25334463,0.0014939336925007026,0.009359321489595313
Gyg,0.24764416,0.0036392856879483874,0.01961152020678228
Hspb1,2.029724,0.0015062703682353113,0.009426527486110798
Slc7a7,0.22858495,0.003645827445950863,0.01964074975711052
2310011J03Rik,0.1934297,0.0015096669867514976,0.009444420775430427
Ubl7,0.20012917,0.0036503449947619007,0.01964701763949491
Fem1a,0.28894353,0.0015134170082834282,0.009463338695774424
Prkch,1.3632588,0.0036486110345853124,0.01964701763949491
Usp5,0.24067524,0.0015137680005589205,0.009463338695774424
Micalcl,1.5931969,0.0036503025900292098,0.01964701763949491
Rpp14,0.17947331,0.0015175883319251437,0.009483847708719968
Irf7,0.69122475,0.003659425562162113,0.019683833916092686
Dicer1,0.24766676,0.0015204861882990581,0.0094952039043992
Sh3gl2,0.31585434,0.0036738492434572824,0.019743288304365388
Gpn1,0.24182898,0.0015219558981058759,0.009501005682918139
Pign,0.3572401,0.003691931168032502,0.019834395113370575
Fam183b,0.23757097,0.0015311533059250524,0.009551635443741905
Nat2,0.44533798,0.003696303129423348,0.019851813842712868
Kif15,0.32976505,0.001533274851111249,0.009561475854711845
Knstrn,0.19113766,0.0037047977255855744,0.01988528113369435
Ppara,0.40956485,0.001539426854340159,0.009589630666898125
Cacfd1,0.18740118,0.0037147243381967583,0.019926389131603064
Arl4c,0.43797415,0.0015466920367565708,0.009629884951153689
Sirt3,0.27060905,0.003714493132034756,0.019926389131603064
Nop14,0.1865336,0.0015469848754968909,0.009629884951153689
Zfp780b,0.35339704,0.003716009743875389,0.019926836034038276
Scgb2b20,1.8250816,0.0015676681263564803,0.009735518172631638
Styk1,0.18249306,0.0037170755431387625,0.019926836034038276
Nup62,0.19201651,0.0015649639997679242,0.009727220591188966
Gm4631,0.32442272,0.0037325141805961757,0.020003498534802256
Erp44,0.16635364,0.0015653889393889716,0.009727220591188966
Acads,0.13796401,0.0037375779923414796,0.020024529896163663
Prex1,1.2563655,0.0015934634706544844,0.009880710504520555
Mageh1,0.52099997,0.0037470129311558734,0.020062845289214554
Cyp2c68,0.71213883,0.0016182844799648073,0.010020476802826483
Gimap3,3.225224,0.0037637400073077952,0.020139264726864777
Thop1,0.21506837,0.0016200874723755424,0.01002810748575393
Cstb,0.12462851,0.0037647234181841915,0.020139264726864777
Sap30,0.18997948,0.0016218014627645268,0.010034544568183763
Gng12,0.15177676,0.0037789534818391366,0.02020923601228215
Slc22a1,0.19429378,0.001626441207708423,0.010056809058078858
Raet1e,0.7966025,0.003814293778017099,0.020385822555077395
Srsf11,0.112250686,0.0016360599221309452,0.010112726349492474
Il18,0.32763004,0.0038200256068545192,0.02040528118890924
Cdc20,0.26816243,0.001645207075272746,0.010162117375665365
Ppp1r10,0.21414833,0.0038608658209126406,0.020609658283990837
Ppp1r8,0.22213517,0.0016490516591523938,0.010175135114566367
Shfm1,0.05753522,0.003862948948402668,0.020614516207191038
9430016H08Rik,0.20949925,0.0016547500825722095,0.010196881245180815
Wbp2,0.21583995,0.003871944766553124,0.02065624935720645
Ubfd1,0.1927361,0.0016555978407201985,0.01019762385382967
Inadl,0.25038856,0.0038955980941670996,0.02077612907702532
Fcgbp,0.20424365,0.0016782945711411679,0.010315729450389558
Eef1d,0.054728713,0.0039228115681244746,0.020902233986249664
Ptrhd1,0.22263378,0.0016795208952932062,0.01031965758496067
Ampd3,0.44494668,0.00393067339066484,0.020937776142513864
Gins4,0.20225854,0.0017061616533436826,0.010461402210121611
Cerk,0.2880982,0.0039683580869602515,0.02111930849853195
N6amt1,0.20653623,0.0017106956891249714,0.010485544243108868
C030014I23Rik,0.614584,0.003978041708916936,0.021151626914008265
Rnf11,0.23272145,0.0017237343249288605,0.010549237731777947
Lrrc26,0.607812,0.003994291393263029,0.02123160394852124
Gtpbp4,0.15357982,0.0017237309200834735,0.010549237731777947
Sfxn3,0.86605763,0.004006715871989967,0.02129120593240995
Ppp1r2,0.15164638,0.0017240887023084429,0.010549237731777947
Rdm1,0.20935862,0.004024272082315497,0.021378033041877336
Apmap,0.2714516,0.0017339177979269925,0.010601996333671204
Cog1,0.27207822,0.004032134273936451,0.021413325958260884
Arl2,0.19297403,0.00174730446075783,0.010668999752917772
Ppp1r9a,0.21772239,0.004040316029729904,0.02145029413608568
Fads1,0.18758439,0.0017585093601083161,0.010722513874109451
Lrmp,0.94210744,0.004067350922521207,0.021574270377743787
Qrsl1,0.31542984,0.0017595556020147775,0.010725171902256568
Ccdc148,1.2066268,0.0040737961452500596,0.021601937133518195
Ube2e1,0.13725382,0.0017639454620712075,0.010748201666080905
Wdr72,3.0334198,0.004077618754493095,0.021615684576985567
Mars2,0.34834406,0.0017970553867376839,0.010927216024616373
Parva,0.20921251,0.004095113710015587,0.02169471238041623
Bzw1,0.11734836,0.001797710529682353,0.010927418588069176
Tmem159,0.23273878,0.004096230335072046,0.02169471238041623
Xylb,0.3162464,0.0018011030622903249,0.010944254534449473
Chd9,0.26969606,0.004140286725634089,0.021908238069728348
U2surp,0.13047245,0.001802740552581485,0.010950418157799667
Paip2b,0.29907244,0.004140230498783299,0.021908238069728348
Kif22,0.29138476,0.0018222740796244598,0.011049973223340453
Snap29,0.31501558,0.0041729011440446015,0.02207416971833106
Stk16,0.1463602,0.0018267457882141505,0.011069449564236989
