,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Zfp646,-0.35161313,,,0.00016871300857503095,0.000550327273374388,,-0.35161313
Cyp4v3,-0.31865424,,,0.00016704347746198146,0.000545290630708601,,-0.31865424
Cir1,-0.2332941,,,0.00016669382886618162,0.0005443536642876472,,-0.2332941
Ihh,-0.42828095,,,0.0001607037623914359,0.0005255823199656705,,-0.42828095
Cspp1,-0.22242033,,,0.00016054785478495935,0.0005252700420194398,,-0.22242033
Hexa,-0.11326864,,,0.00016023363827458276,0.000524636918086986,,-0.11326864
Vamp3,-0.1551181,,,0.00016001318378558414,0.0005241125119246733,,-0.1551181
Iffo2,-0.5746189,,,0.00015636135507472143,0.0005129242489300201,,-0.5746189
Zfp664,-0.23338082,,,0.00015585359281620402,0.0005114515977165955,,-0.23338082
St3gal4,-0.18075,,,0.0001444868632631623,0.0004764887338189188,,-0.18075
Twf1,-0.11414141,,,0.00014363229081560422,0.00047403018377374623,,-0.11414141
Pcdh1,-0.2350603,,,0.0001414235724114735,0.0004669180079654155,,-0.2350603
Kitl,-0.19200198,,,0.0001388583337702601,0.0004586229086112732,,-0.19200198
Zfp524,-0.24098314,,,0.00013860398795430986,0.0004581309761546828,,-0.24098314
Malrd1,-0.3829112,,,0.0001364949555258566,0.0004515032908623559,,-0.3829112
Nmi,-0.23329858,,,0.00013316331480864597,0.00044065043609880453,,-0.23329858
Bcl10,-0.18348071,,,0.00013146532786252545,0.00043536308385102234,,-0.18348071
Atp5c1,-0.020545023,,,0.0001302477074653237,0.0004314951680625225,,-0.020545023
Cdcp1,-0.26161575,,,0.00012609290040052553,0.00041868815247584734,,-0.26161575
Mapkapk3,-0.23488484,,,0.0001258471317963115,0.00041819155837359936,,-0.23488484
Klf5,-0.057791885,,,0.00012511477264346617,0.00041591690959451294,,-0.057791885
Gstt1,-0.28873202,,,0.00012409710588601292,0.0004126917144097591,,-0.28873202
Rnf5,-0.09160572,,,0.00012234152046262082,0.0004074769491883382,,-0.09160572
Gm10020,-0.07470535,,,0.0001221464471541546,0.000406983160257212,,-0.07470535
Sdhaf4,-0.14751376,,,0.00011818069974497434,0.00039437421223917926,,-0.14751376
Echs1,-0.053938232,,,0.00011759609836399363,0.0003925740718426254,,-0.053938232
Usp9x,-0.17770249,,,0.00011507762977916683,0.00038460970229538537,,-0.17770249
Fam60a,-0.24545236,,,0.00011383140721098305,0.0003805909318788752,,-0.24545236
Gstt3,-0.21135075,,,0.0001125837241818133,0.0003767091279108942,,-0.21135075
Map1lc3a,-0.42996544,,,0.00011039940341508737,0.0003699699359627427,,-0.42996544
Gng12,-0.109208874,,,0.00011030984368554026,0.0003698123683603553,,-0.109208874
Iqgap1,-0.09191435,,,0.0001093311726420004,0.00036681431253450774,,-0.09191435
Aprt,-0.035756808,,,0.00010923848820690752,0.0003666448563639564,,-0.035756808
1810058I24Rik,-0.1038246,,,0.00010649217959388414,0.0003578417151950657,,-0.1038246
Tead1,-0.5193406,,,0.00010529960849469411,0.0003540288004456701,,-0.5193406
Pla2g16,-0.07612237,,,0.00010397279875116013,0.00034995496571554126,,-0.07612237
Tns3,-0.23735665,,,0.00010376040164404781,0.000349743765603609,,-0.23735665
Sec61b,-0.040909134,,,9.986339593519975e-05,0.00033778696531700056,,-0.040909134
