,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Clpb,0.16613722,,,0.18649383544595866,0.41155482292774176,,0.16613722
Wdr43,0.17581408,,,0.18663458324034965,0.41175158745839435,,0.17581408
Chd7,0.13717169,,,0.18739597762247096,0.4129541444749611,,0.13717169
Rhbdd2,0.32059634,,,0.1874242213912496,0.4129541444749611,,0.32059634
Zkscan14,0.34020692,,,0.1874242213912496,0.4129541444749611,,0.34020692
Stxbp5,0.3162343,,,0.1875513572430716,0.4130891096893481,,0.3162343
Med21,0.11677767,,,0.18817382682264272,0.4143457891581611,,0.11677767
Smarcb1,0.08772315,,,0.1882304904601242,0.4143562534067047,,0.08772315
Zc3h14,0.17290673,,,0.18861329931247206,0.4148557054593971,,0.17290673
Vps51,0.13409263,,,0.18912460387702168,0.4157511947525164,,0.13409263
Smn1,0.19341797,,,0.18930949252946905,0.4159285354721228,,0.19341797
Pbdc1,0.14486301,,,0.1894518052006161,0.416126667339383,,0.14486301
Bbip1,0.07635513,,,0.18959419670129918,0.4163248632929216,,0.07635513
Shkbp1,0.28163365,,,0.18970816667140478,0.41646055730779785,,0.28163365
Gon4l,0.12749384,,,0.18989347552422442,0.41663818626562926,,0.12749384
Diablo,0.07905962,,,0.19017882640546646,0.41695175557300707,,0.07905962
Lrrc41,0.13768816,,,0.19017882640546646,0.41695175557300707,,0.13768816
Rcor1,0.17837836,,,0.19047878459531697,0.4173487945758496,,0.17837836
Ctu2,0.23538302,,,0.1910367737742117,0.4182063424554852,,0.23538302
Pvrl2,0.07025243,,,0.1910510969907787,0.4182063424554852,,0.07025243
Chchd6,0.44994047,,,0.19115138163710899,0.4182484452377752,,0.44994047
Mob1b,0.100957595,,,0.19128037595355218,0.41830135914006944,,0.100957595
Ppm1g,0.08174965,,,0.1921132094128647,0.4193184680157194,,0.08174965
Ube2d3,0.042297363,,,0.1923866131008819,0.41945641785611565,,0.042297363
Zyg11b,0.23107655,,,0.1924442082003358,0.41946741394185705,,0.23107655
Rab2a,0.04857468,,,0.1942214495904766,0.421958522218613,,0.04857468
Ints1,0.22995453,,,0.19548577647979604,0.4235840785929332,,0.22995453
Rpl7,0.023248995,,,0.19550034396596916,0.4235840785929332,,0.023248995
Capn15,0.5300285,,,0.19598151757011495,0.42439622171585933,,0.5300285
G3bp2,0.07143131,,,0.19656592110351478,0.42531558206783815,,0.07143131
Pelo,0.20183326,,,0.1968732434277205,0.4257497233920523,,0.20183326
Prkrir,0.23249252,,,0.19782670880538333,0.4268573837342569,,0.23249252
Pgm1,0.08857399,,,0.1978854937540857,0.4268573837342569,,0.08857399
Vps54,0.13609762,,,0.1978854937540857,0.4268573837342569,,0.13609762
Nr1i3,0.091267034,,,0.19794429148124248,0.4268573837342569,,0.091267034
Ctr9,0.1837986,,,0.19797369513708585,0.4268573837342569,,0.1837986
G6pdx,0.17701554,,,0.19838568185930416,0.42728400232082187,,0.17701554
Wdr26,0.11230095,,,0.19870982527435754,0.4277513013322335,,0.11230095
Atp6v0a2,0.048957363,,,0.19882779155129116,0.427774510016821,,0.048957363
Zc3h18,0.13651843,,,0.19882779155129116,0.427774510016821,,0.13651843
Tut1,0.5461335,,,0.19888679388325048,0.4277861462614135,,0.5461335
Atl3,0.3800719,,,0.19904911628458177,0.4279681398507722,,0.3800719
Ppil3,0.13294174,,,0.2005440587933942,0.43042287638851107,,0.13294174
Letm1,0.06799936,,,0.20063312444004666,0.43049827937646573,,0.06799936
4833439L19Rik,0.077483416,,,0.20079648643202108,0.4305016262961032,,0.077483416
Galnt1,0.081896394,,,0.20100454204900764,0.4308118878346253,,0.081896394
Pmf1,0.15476434,,,0.2011532494706254,0.43086737608166836,,0.15476434
Sbds,0.067061745,,,0.20124251243831492,0.4308792205693749,,0.067061745
March2,0.101362154,,,0.20188307603878064,0.43178743647951423,,0.101362154
Plekha7,0.12549973,,,0.20276440608058577,0.4332081074237783,,0.12549973
Cenpb,0.09044717,,,0.20306379718599477,0.4336595521305366,,0.09044717
Gnpnat1,0.07453546,,,0.2030937539943639,0.4336595521305366,,0.07453546
0610030E20Rik,0.14119475,,,0.20358850607551038,0.4344514890248465,,0.14119475
Lclat1,0.11791295,,,0.20439999189608904,0.4354567140802149,,0.11791295
Chordc1,0.16420655,,,0.20443009204715978,0.4354567140802149,,0.16420655
Fasn,0.2080725,,,0.20443009204715978,0.4354567140802149,,0.2080725
Zfpm1,0.10513302,,,0.204445143331752,0.4354567140802149,,0.10513302
Mtf1,0.14387496,,,0.20449030202195162,0.4354567140802149,,0.14387496
N4bp2l2,0.07217896,,,0.20458064116772812,0.4354567140802149,,0.07217896
Slc30a1,0.25281247,,,0.20477647555482592,0.43573739586709104,,0.25281247
Pex7,0.07597233,,,0.20495736672034692,0.43579374032014095,,0.07597233
Wdr4,0.34626314,,,0.20559140068530302,0.43667657271689425,,0.34626314
Mcat,0.21739517,,,0.2059089516197362,0.4370021940517773,,0.21739517
Tmed9,0.09653067,,,0.20607542995814376,0.43721685404701954,,0.09653067
Tmem165,0.18139689,,,0.2061662775217361,0.43721685404701954,,0.18139689
Stk25,0.080163695,,,0.2063480599068731,0.43721685404701954,,0.080163695
Spryd4,0.17970984,,,0.2063935236844362,0.43721685404701954,,0.17970984
Hid1,0.57137203,,,0.206772671392486,0.43778765598271174,,0.57137203
Galnt4,0.09267581,,,0.206772671392486,0.43778765598271174,,0.09267581
Dcaf11,0.09465775,,,0.20736515098743824,0.43857674488122206,,0.09465775
Habp4,0.63561255,,,0.20753248310019645,0.43869816740089196,,0.63561255
Psmc6,0.06804941,,,0.2087523913058602,0.4405768343213581,,0.06804941
Lockd,0.2837375,,,0.2107611979118056,0.44399469034891326,,0.2837375
Eif1b,0.06985954,,,0.21113073409142125,0.4446558098991357,,0.06985954
Mtpn,0.054005414,,,0.21139277221959218,0.4450902421146887,,0.054005414
Plcl2,0.41412485,,,0.21230402258787184,0.44656273384194045,,0.41412485
Sec23b,0.08699377,,,0.21236590482969286,0.44656273384194045,,0.08699377
Zcchc7,0.13742986,,,0.21241232506092012,0.44656273384194045,,0.13742986
Rpp25l,0.102604456,,,0.21242780009995588,0.44656273384194045,,0.102604456
Id1,0.09895359,,,0.2130629780214256,0.44742664839963675,,0.09895359
Aldh1b1,0.08163471,,,0.21314053244339937,0.44747178589248127,,0.08163471
Sox13,0.57964796,,,0.2136062869376265,0.4480960268951734,,0.57964796
Trim65,0.3678673,,,0.2137461563866292,0.4482716290798934,,0.3678673
Pak1ip1,0.07192108,,,0.2150547919030391,0.4505678278156635,,0.07192108
Tmem56,0.58916503,,,0.21571127060408368,0.4515094843836634,,0.58916503
Scap,0.21481976,,,0.21574256745668907,0.4515094843836634,,0.21481976
Mina,0.2591015,,,0.2161183847968211,0.4520589484927217,,0.2591015
Clptm1l,0.073886745,,,0.21660451281980442,0.45283845503606046,,0.073886745
Mcrs1,0.07677785,,,0.2170285554073368,0.45336873312257586,,0.07677785
Ddx6,0.09079962,,,0.21712286814028214,0.4534470783609974,,0.09079962
Rfxap,0.15809052,,,0.21778388284412764,0.4543520524991706,,0.15809052
Hdac2,0.14604709,,,0.21786267133607096,0.45439765942109184,,0.14604709
Syf2,0.06552944,,,0.218841351376459,0.45560554686669164,,0.06552944
Cmpk1,0.0670132,,,0.21917355460953203,0.4560592577928271,,0.0670132
Ddx3y,0.1241723,,,0.22060138395202855,0.4586715933068747,,0.1241723
Sart1,0.12275336,,,0.22079226404537877,0.45873572144038177,,0.12275336
Ppp4r1,0.19728772,,,0.22123811139635907,0.4589195959370421,,0.19728772
Atad3a,0.071071796,,,0.22232356905135353,0.4602936656477637,,0.071071796
Polr3h,0.3535487,,,0.22233956006509026,0.4602936656477637,,0.3535487
Mterf4,0.1891787,,,0.22259552829688967,0.4605384932259651,,0.1891787
Trappc13,0.08819349,,,0.22277162878276235,0.4607302581003466,,0.08819349
Dpep1,0.030421082,,,0.2229798760722943,0.4609752320147768,,0.030421082
Mid1ip1,0.08178485,,,0.22349307820262732,0.46174378821440654,,0.08178485
Rabl6,0.100209154,,,0.22352518136563104,0.46174378821440654,,0.100209154
Vapb,0.055633094,,,0.22463476103197888,0.4631967611876144,,0.055633094
2810408A11Rik,0.3043275,,,0.22498936618506282,0.4636883864934602,,0.3043275
Prcc,0.2093502,,,0.22557049138132368,0.4645262286392481,,0.2093502
Fastkd2,0.27116874,,,0.22600703801509192,0.4652184955960449,,0.27116874
Ruvbl2,0.14249659,,,0.22612031513467612,0.465298364373546,,0.14249659
Exosc1,0.19570105,,,0.22633079441055592,0.4654914715241065,,0.19570105
Gata4,0.091532685,,,0.22639558537908877,0.465504781683639,,0.091532685
Skp1a,0.043956462,,,0.22665488157988634,0.4655582256229163,,0.043956462
Srpr,0.074592695,,,0.22681704923815194,0.46577146565961636,,0.074592695
Ccar1,0.06399748,,,0.2274015379366633,0.46661158761193994,,0.06399748
Psmb1,0.03825225,,,0.22803594472174094,0.4676728958810216,,0.03825225
Chrac1,0.08856364,,,0.22859004522971216,0.46806780144625765,,0.08856364
Cbx5,0.20059998,,,0.22860635680447206,0.46806780144625765,,0.20059998
Rpl11,0.043837935,,,0.2293739359133844,0.4691580313527814,,0.043837935
Herc2,0.08554004,,,0.22940663948507967,0.4691580313527814,,0.08554004
Pin1,0.04106461,,,0.23037288783717957,0.47063182513266744,,0.04106461
Tmsb10,0.056909397,,,0.23038928982591034,0.47063182513266744,,0.056909397
A1cf,0.08093981,,,0.23040569264483612,0.47063182513266744,,0.08093981
Tspan12,0.22244835,,,0.23042209629396948,0.47063182513266744,,0.22244835
Ufc1,0.052937966,,,0.23099674714392493,0.4716648524976874,,0.052937966
Dicer1,0.15734603,,,0.2311446789556082,0.47174554523744944,,0.15734603
Pithd1,0.10295185,,,0.23124333754800408,0.4718262577474869,,0.10295185
Tmem79,0.18275352,,,0.23142428932125558,0.47186718322991067,,0.18275352
Ocel1,0.19511333,,,0.23144074446819096,0.47186718322991067,,0.19511333
Gpn2,0.25491816,,,0.23163827105381574,0.4721493052991719,,0.25491816
Ctnnbl1,0.13199343,,,0.2318853475986552,0.4725322554333587,,0.13199343
Itfg2,0.2934029,,,0.23274332810410248,0.47367599309713054,,0.2934029
Ctbp2,0.117920294,,,0.2342668058945252,0.47592711749811656,,0.117920294
Pih1d1,0.08792734,,,0.2350311885779225,0.47735851074528685,,0.08792734
2410004B18Rik,0.08439975,,,0.23568063397122196,0.47835997757473164,,0.08439975
Aldh16a1,0.05718717,,,0.23571397305822606,0.47835997757473164,,0.05718717
Cenpm,0.3599529,,,0.2357639879452511,0.47835997757473164,,0.3599529
Slc25a15,0.06673937,,,0.23626454981525236,0.47904417645317304,,0.06673937
Abcb10,0.22711024,,,0.23671569770978873,0.479316260557974,,0.22711024
Lipe,0.19102138,,,0.23696659841295598,0.479580980865166,,0.19102138
Rnf121,0.13788386,,,0.2372846757113921,0.4797381665471965,,0.13788386
Smim12,0.09909523,,,0.23751924141223468,0.4800908039889737,,0.09909523
Zfp422,0.1928983,,,0.23785461934402696,0.4806469801529173,,0.1928983
Usp39,0.22697657,,,0.23803921969110797,0.48066895867959647,,0.22697657
Smim14,0.040973958,,,0.23810637216476127,0.48066895867959647,,0.040973958
Gstz1,0.080960706,,,0.23896373880761157,0.48175077565822483,,0.080960706
Asns,0.19936462,,,0.23903107524432154,0.48175077565822483,,0.19936462
Tmem11,0.07254837,,,0.23904791144481718,0.48175077565822483,,0.07254837
Usp4,0.105401546,,,0.23906474848186277,0.48175077565822483,,0.105401546
Pomt1,0.36720803,,,0.23943537496751255,0.48225414155707425,,0.36720803
Trp53rkb,0.32825482,,,0.23984015669667447,0.48261629390513694,,0.32825482
Sri,0.056347292,,,0.24100659052700302,0.4846849598353586,,0.056347292
Mtfmt,0.21378824,,,0.24134543283536536,0.4852441422901477,,0.21378824
Pum3,0.118347846,,,0.24153193899574732,0.4853746065115949,,0.118347846
Rrp8,0.4298483,,,0.24171854658153835,0.48550514313382964,,0.4298483
Csnk1a1,0.04853287,,,0.24188827786769018,0.4856016684959515,,0.04853287
Zfp644,0.15840986,,,0.24222799198966793,0.4860391734694644,,0.15840986
Cox10,0.080862366,,,0.24280627595709425,0.4865681095232376,,0.080862366
2610037D02Rik,0.26198673,,,0.2428573475746152,0.4865681095232376,,0.26198673
Uba5,0.052303568,,,0.2433173320013433,0.48722528231286477,,0.052303568
Rnf181,0.09507826,,,0.2442562303731659,0.4881402662166564,,0.09507826
Hrsp12,0.09416218,,,0.2443759087699523,0.4881402662166564,,0.09416218
Psen2,0.1531737,,,0.24512911568284168,0.4891551503451106,,0.1531737
Borcs7,0.11217134,,,0.2454891744130714,0.4895065176530442,,0.11217134
Cul5,0.11041632,,,0.24600418723717887,0.4901464532181977,,0.11041632
Lin7c,0.07347421,,,0.2460557301484989,0.4901464532181977,,0.07347421
Noc4l,0.30008596,,,0.24612446580592084,0.49016104941688127,,0.30008596
Plxna2,0.35923424,,,0.24633075353200773,0.4904495072817375,,0.35923424
Rpp21,0.059635174,,,0.2471398804027778,0.49157002875030464,,0.059635174
Acer3,0.2180399,,,0.24760553883179182,0.4922312501670008,,0.2180399
Narfl,0.16145179,,,0.24765731654606304,0.4922312501670008,,0.16145179
Pde12,0.20659484,,,0.24836570498891009,0.49312838458180114,,0.20659484
Hs2st1,0.31530917,,,0.248383000445641,0.49312838458180114,,0.31530917
Lrrc19,0.11751321,,,0.24841759388667284,0.49312838458180114,,0.11751321
Ttc14,0.07615439,,,0.2490235247224697,0.4940854522333465,,0.07615439
Nr2f2,0.44701177,,,0.24935289098315438,0.4946159979690702,,0.44701177
Leo1,0.20560418,,,0.24945696460969058,0.49469950099740384,,0.20560418
Gjb2,0.53030455,,,0.24964784509443716,0.4948616752676567,,0.53030455
Dnase2a,0.28616118,,,0.24978673135221607,0.4948616752676567,,0.28616118
