,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Ralb,-0.23071024,,,0.15469087472942772,0.49775483977459173,,-0.23071024
Ube2l6,-0.72310054,,,0.15460105872616445,0.4976552739574517,,-0.72310054
Ap3d1,-0.20375007,,,0.15460105872616445,0.4976552739574517,,-0.20375007
Zbtb14,-0.5266139,,,0.15460105872616445,0.4976552739574517,,-0.5266139
Hypk,-0.1430314,,,0.15460105872616445,0.4976552739574517,,-0.1430314
Rpl23a,-0.037646163,,,0.15415257283862413,0.49715822136775645,,-0.037646163
Ap2b1,-0.22328527,,,0.1540928494992992,0.49715528886167026,,-0.22328527
Plekha7,-0.26253894,,,0.15406299442482835,0.49715528886167026,,-0.26253894
Hipk3,-0.2236353,,,0.15397345557823844,0.49714958747244065,,-0.2236353
Net1,-0.21048564,,,0.1538243120702645,0.49685781808557355,,-0.21048564
Chchd3,-0.103722595,,,0.15376468542545185,0.49685507870846507,,-0.103722595
Eps15l1,-0.49973324,,,0.1532288360578744,0.4956920593942642,,-0.49973324
Churc1,-0.113372356,,,0.1531099515222294,0.49549709809242154,,-0.113372356
Cldn2,-0.6891602,,,0.15278338081519746,0.49481912568232345,,-0.6891602
Rac1,-0.14683995,,,0.15263511489830103,0.49452841174217654,,-0.14683995
Becn1,-0.17803252,,,0.15245734035168315,0.49433137629182117,,-0.17803252
Fmr1,-0.28586105,,,0.15239811720131302,0.49432896573395974,,-0.28586105
2010300C02Rik,-0.33339742,,,0.15236851219310707,0.49432896573395974,,-0.33339742
Kif1c,-0.1967656,,,0.15222055280861405,0.4942282638389715,,-0.1967656
Dhdds,-0.20587306,,,0.15219097406070295,0.4942282638389715,,-0.20587306
Snx14,-0.19493009,,,0.15216139968834735,0.4942282638389715,,-0.19493009
Specc1,-0.62715834,,,0.15210226406897687,0.4942282638389715,,-0.62715834
Ppp6r1,-0.308393,,,0.15201359344829668,0.4942282638389715,,-0.308393
Rfc1,-0.23766479,,,0.15183637028423888,0.49421556811894424,,-0.23766479
Tec,-0.5816585,,,0.15157083059693147,0.49372956879994667,,-0.5816585
Atxn7l3,-0.28829357,,,0.15127620150472326,0.49295980390108934,,-0.28829357
Nme4,-0.31993935,,,0.15121732807999813,0.4929579923872828,,-0.31993935
Get4,-0.21255109,,,0.15121732807999813,0.4929579923872828,,-0.21255109
Man1a2,-0.20449449,,,0.15112905067649912,0.4929579923872828,,-0.20449449
Stk3,-0.33591664,,,0.15101140856054152,0.4928569253136129,,-0.33591664
Gins2,-0.6330161,,,0.15089383624069844,0.4926634212988119,,-0.6330161
Sec23ip,-0.25730243,,,0.15083507624765194,0.4926618622571104,,-0.25730243
Aagab,-0.3057051,,,0.150482882457465,0.49208193632996194,,-0.3057051
Mcu,-0.21261077,,,0.15042424449552091,0.4920805490404947,,-0.21261077
Nrm,-0.8530359,,,0.15027772580749152,0.49179156649273165,,-0.8530359
Naprt,-0.30286017,,,0.15027772580749152,0.49179156649273165,,-0.30286017
Rbmx,-0.23526008,,,0.15001426643727298,0.49150023030785606,,-0.23526008
Cd24a,-0.10806536,,,0.14998501493287109,0.49150023030785606,,-0.10806536
Ddhd2,-0.25950128,,,0.14975115948981613,0.49120937181506236,,-0.25950128
Trnt1,-0.22057222,,,0.14960514115500942,0.4909209076798504,,-0.22057222
Mcm6,-0.28564164,,,0.14940089801757558,0.49044108386119084,,-0.28564164
Deb1,-0.20555228,,,0.14916773791383448,0.4898659240814463,,-0.20555228
Fbxl19,-0.3752738,,,0.14910949130632783,0.4898659240814463,,-0.3752738
Uri1,-0.19696432,,,0.14902215394796797,0.4898659240814463,,-0.19696432
Prrg2,-0.20351212,,,0.14899305017460976,0.4898659240814463,,-0.20351212
Mmd,-0.19761342,,,0.14899305017460976,0.4898659240814463,,-0.19761342
Dnajc4,-0.24456105,,,0.14867319497780904,0.48976403630063126,,-0.24456105
Ptp4a1,-0.22540891,,,0.14852797969699338,0.4894764180813587,,-0.22540891
Golga7,-0.19639835,,,0.14844090253640813,0.4893802453745156,,-0.19639835
Matk,-0.17930964,,,0.14835386437062897,0.4892841262289999,,-0.17930964
Ttyh2,-0.45706308,,,0.14835386437062897,0.4892841262289999,,-0.45706308
Ap4s1,-0.20749241,,,0.14829586058606167,0.4892841262289999,,-0.20749241
Pbk,-0.56976855,,,0.14783245375682708,0.4885174869454493,,-0.56976855
Auts2,-0.27393702,,,0.14777460579356613,0.48851730260970455,,-0.27393702
Dapp1,-0.20311299,,,0.1476011656927578,0.4882304031394984,,-0.20311299
4930539E08Rik,-0.2835119,,,0.1475433869131276,0.4882304031394984,,-0.2835119
Zcchc9,-0.19159459,,,0.14751450400690996,0.4882304031394984,,-0.19159459
Rnf44,-0.2487847,,,0.147370154298257,0.4882304031394984,,-0.2487847
Gm8186,-0.1959211,,,0.14719707721253475,0.4882304031394984,,-0.1959211
Msl2,-0.28642547,,,0.14719707721253475,0.4882304031394984,,-0.28642547
Creb1,-0.19671501,,,0.14713941940001368,0.4882304031394984,,-0.19671501
L2hgdh,-0.58898854,,,0.1470529650619613,0.4882304031394984,,-0.58898854
Cse1l,-0.29155776,,,0.14702415558278223,0.4882304031394984,,-0.29155776
Zfr,-0.16926941,,,0.1469377530410117,0.4882304031394984,,-0.16926941
Hmg20b,-0.17742625,,,0.14690896082454646,0.4882304031394984,,-0.17742625
Grb2,-0.26513174,,,0.1465637906866433,0.48775737113157314,,-0.26513174
Mboat7,-0.229265,,,0.14653505453649096,0.48775737113157314,,-0.229265
Pfdn1,-0.121494904,,,0.14653505453649096,0.48775737113157314,,-0.121494904
Napepld,-0.29909176,,,0.14653505453649096,0.48775737113157314,,-0.29909176
Ippk,-0.48279426,,,0.14630532048167724,0.4876651711481143,,-0.48279426
Asap1,-0.8443447,,,0.1461618767085685,0.4873792283303864,,-0.8443447
Gps2,-0.20392276,,,0.14573219111803984,0.4861382050200437,,-0.20392276
Atg4c,-0.52955616,,,0.14573219111803984,0.4861382050200437,,-0.52955616
Uaca,-0.3625578,,,0.14567497284609637,0.4861382050200437,,-0.3625578
Dr1,-0.34861052,,,0.14547484433272384,0.48604697989901763,,-0.34861052
Noct,-0.7558806,,,0.14547484433272384,0.48604697989901763,,-0.7558806
Ubtd1,-0.27137998,,,0.14541770344290825,0.48604697989901763,,-0.27137998
Brpf1,-0.39759004,,,0.14541770344290825,0.48604697989901763,,-0.39759004
Hiatl1,-0.26721326,,,0.14536057974161215,0.48604697989901763,,-0.26721326
Fbxo8,-0.22625454,,,0.14527492641216586,0.48604697989901763,,-0.22625454
Pwp1,-0.28075337,,,0.14498969446461563,0.48577007027720803,,-0.28075337
Zbtb44,-0.43074283,,,0.1449042085899791,0.4856761598775152,,-0.43074283
Ppp1r21,-0.41466615,,,0.14461953453613216,0.4851050794744955,,-0.41466615
Apeh,-0.1836429,,,0.144477358313867,0.4848221952469701,,-0.1836429
Trip11,-0.2195849,,,0.144392104013331,0.4848221952469701,,-0.2195849
Tufm,-0.18338393,,,0.1442500992040974,0.4846367601638455,,-0.18338393
Sat1,-0.25464725,,,0.1442500992040974,0.4846367601638455,,-0.25464725
Usp43,-0.6424986,,,0.14422171109291287,0.4846367601638455,,-0.6424986
Eif4g3,-0.23228388,,,0.14410820147227882,0.4846367601638455,,-0.23228388
Hist1h1e,-0.6552368,,,0.14410820147227882,0.4846367601638455,,-0.6552368
Abcb7,-0.30555442,,,0.14407983477143024,0.4846367601638455,,-0.30555442
Arf3,-0.20991862,,,0.1437397681839393,0.4844626237874158,,-0.20991862
Gne,-0.36145118,,,0.14348512244420564,0.48379726367007186,,-0.36145118
Gkn3,-0.61051244,,,0.1434568498468057,0.48379726367007186,,-0.61051244
Mafk,-0.44518974,,,0.14331555095504012,0.4836113182526763,,-0.44518974
Gm9803,-0.2844046,,,0.14331555095504012,0.4836113182526763,,-0.2844046
Ocel1,-0.31717777,,,0.14320258873524952,0.4836113182526763,,-0.31717777
Wash1,-0.23334114,,,0.14317435885710122,0.4836113182526763,,-0.23334114
BC021614,-0.7069172,,,0.14292048206378755,0.4832427339540784,,-0.7069172
Sirt6,-0.34656617,,,0.14263880208507623,0.48248331093443353,,-0.34656617
Habp4,-0.604308,,,0.14258251726209922,0.48248331093443353,,-0.604308
Sgms2,-0.3022213,,,0.14218900077846444,0.48134706591123744,,-0.3022213
Mapk8ip3,-0.5479949,,,0.14218900077846444,0.48134706591123744,,-0.5479949
Slco4a1,-0.21371056,,,0.14196450897650995,0.4809723424362479,,-0.21371056
Fgd2,-0.7786067,,,0.14162828183944262,0.48002560801475885,,-0.7786067
Stam2,-0.20962739,,,0.14154432072651585,0.47993347095918115,,-0.20962739
Zfp703,-0.7573336,,,0.1414883679017067,0.47993347095918115,,-0.7573336
Cdca5,-0.66659975,,,0.14143243207404083,0.47993347095918115,,-0.66659975
Klf5,-0.11026513,,,0.1413485601961134,0.47984714029628367,,-0.11026513
Ttpal,-0.6715221,,,0.141264726546143,0.47975521634975765,,-0.6715221
Lrrc8d,-0.4593062,,,0.14112508872174911,0.47966641534577614,,-0.4593062
Sdccag8,-0.29218277,,,0.1410971738925783,0.47966641534577614,,-0.29218277
Mdc1,-0.7803319,,,0.14087400802933825,0.4791983862663969,,-0.7803319
Gm12355,-0.5854913,,,0.14079039082732275,0.4791067526825118,,-0.5854913
D17H6S53E,-0.6235422,,,0.14076252690831753,0.4791067526825118,,-0.6235422
Macf1,-0.32167774,,,0.14040068169765219,0.4781655771113029,,-0.32167774
Cenpw,-0.34207654,,,0.14026170111232444,0.47788478819124486,,-0.34207654
Clasp1,-0.31318212,,,0.14015059285789358,0.47769877476926387,,-0.31318212
Msto1,-0.31287834,,,0.14003955232491955,0.47769877476926387,,-0.31287834
Lage3,-0.18510294,,,0.14001180277053804,0.47769877476926387,,-0.18510294
Sft2d1,-0.19331826,,,0.13992857949108042,0.47769877476926387,,-0.19331826
Vkorc1l1,-0.32026228,,,0.1399008468579936,0.47769877476926387,,-0.32026228
Dock7,-0.1756079,,,0.1399008468579936,0.47769877476926387,,-0.1756079
Dhrs11,-0.22962981,,,0.13981767433404463,0.47769877476926387,,-0.22962981
Rrm1,-0.4218655,,,0.13973453986573098,0.47769877476926387,,-0.4218655
Ptk2b,-0.6052116,,,0.1396514434436241,0.47769877476926387,,-0.6052116
Yod1,-0.6016679,,,0.1396237530893377,0.47769877476926387,,-0.6016679
D5Ertd579e,-0.25294322,,,0.13943003891661412,0.4776482720967351,,-0.25294322
Grcc10,-0.17256284,,,0.13940238236021368,0.4776482720967351,,-0.17256284
Fsd1l,-0.3574612,,,0.13934708191655049,0.4776482720967351,,-0.3574612
Lrrc41,-0.27396488,,,0.13934708191655049,0.4776482720967351,,-0.27396488
Adam10,-0.2257883,,,0.13929179836273953,0.4776482720967351,,-0.2257883
Rnf185,-0.6579148,,,0.13923653169598219,0.4776482720967351,,-0.6579148
Pfkp,-0.17731136,,,0.1390432313074619,0.47758327275171697,,-0.17731136
Mysm1,-0.28962648,,,0.13851960047562892,0.4761716888249253,,-0.28962648
Inpp5e,-0.75617766,,,0.13851960047562892,0.4761716888249253,,-0.75617766
Ugt2b34,-0.41948804,,,0.1382446161867145,0.47561324404814714,,-0.41948804
B3gnt3,-0.522457,,,0.13769590979020377,0.47430461510048594,,-0.522457
AI661453,-0.25770786,,,0.137613748848173,0.474214846723851,,-0.25770786
Cep164,-0.28264445,,,0.13755899588918014,0.474214846723851,,-0.28264445
Rai1,-0.4689976,,,0.1374221869794215,0.4741345904232857,,-0.4689976
Sgpl1,-0.2030457,,,0.1373674928032109,0.4741345904232857,,-0.2030457
Pex16,-0.2068106,,,0.13734015201105904,0.4741345904232857,,-0.2068106
Prkaa1,-0.3808578,,,0.13725815481418885,0.4741345904232857,,-0.3808578
Lyplal1,-0.42086154,,,0.13720351099573827,0.4741345904232857,,-0.42086154
Trim25,-0.29821664,,,0.13703968021078128,0.4737817655712614,,-0.29821664
Cdca7,-0.2948459,,,0.13698510349652185,0.4737817655712614,,-0.2948459
Aprt,-0.13668555,,,0.13682147395640437,0.47360848458373717,,-0.13668555
Rab35,-0.21283728,,,0.13660353587035054,0.4730478036509927,,-0.21283728
Zfp398,-0.320828,,,0.13657631245617324,0.4730478036509927,,-0.320828
Fam57a,-0.23247838,,,0.13649466733393395,0.4730478036509927,,-0.23247838
Ntan1,-0.18848835,,,0.13624995796712394,0.4726920762026309,,-0.18848835
Pgap2,-0.21079291,,,0.1361684634796602,0.4726920762026309,,-0.21079291
Pex6,-0.25901547,,,0.13611415473017088,0.4726920762026309,,-0.25901547
