,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Mrpl15,-0.060376766954859634,0.24699391061010725,-2.935974273837903,0.003379081765261155,0.019033618321939918,-2.6911412996700603,-0.09451474
Lypla1,-0.012200831201814786,0.14849754551422614,-0.7443835451696409,0.4567688810435302,0.607654907101908,-6.677635391504317,-0.02188978
Tcea1,-0.033766309996438565,0.12013573717142327,-2.329365684014185,0.01998075805699627,0.0696023479849946,-4.26700771327266,-0.056282096
Atp6v1h,-0.008873083248277734,0.06031460392574627,-0.8481998998108199,0.3964710489771498,0.5494004811936485,-6.595687562889903,-0.015052093
Rb1cc1,-0.03499320712593847,0.0723909266020611,-3.135837986579096,0.0017491432384343364,0.011489081173021713,-2.0933445604037395,-0.053203274
Pcmtd1,0.029474171860783913,0.2407950797371436,1.5143565585515975,0.13016022291757554,0.2600778211751001,-5.816113746054903,0.047466934
Rrs1,0.0007366417645734135,0.0720961040303419,0.06253518609815277,0.9501455321435066,0.9708329823301728,-6.95040662105283,-0.00028653385
Vcpip1,-0.004990739211740306,0.03723783240267128,-0.6271519470191553,0.5306614796520224,0.6700913603194668,-6.757337905755815,-0.008616083
Snhg6,-0.05281486302776816,0.061763591175996634,-4.594580288397409,4.724642631434279e-06,8.827115753554683e-05,3.4370392382468893,-0.084763005
Cops5,-0.06105464661667585,0.12136004752048628,-3.981170708301143,7.208050030071217e-05,0.0008757303883415446,0.8626864469661877,-0.09000675
Cspp1,-0.021096169822193846,0.044860295998746906,-2.1921879900792747,0.028530152909783238,0.09041582482799648,-4.573459846010458,-0.028823437
Arfgef1,-0.03457168085481502,0.16789280268436205,-2.047407076321912,0.04080366443701462,0.11624341814569723,-4.876840656901995,-0.052421387
Ncoa2,-0.00991891955205487,0.04169046972983403,-1.0240746459126153,0.30598171812277786,0.4650273721959541,-6.432502672595559,-0.014097854
Tram1,0.02441932591755659,0.7014097561186182,0.9067970125936471,0.36466955307488436,0.5193288760496969,-6.544721594804322,0.020088691
