"X","baseMean","logFC","lfcSE","stat","P.Value","adj.P.Val"
"Fabp1",3270.07247418955,1.38861958700273,0.0877363256904154,15.8271910303445,2.02041623773435e-56,1.75634783546247e-52
"Sis",1004.33111197697,-1.46868113033805,0.10529645256577,-13.9480589758775,3.23284356312163e-44,1.40515545471082e-40
"Sepp1",403.584386472589,-2.04768373419374,0.14997309892008,-13.6536735517144,1.91952769812797e-42,5.56215142660882e-39
"Akr1b8",241.47127869752,1.84090839821486,0.175750033631332,10.4745834761916,1.13034094464358e-25,2.45651345794666e-22
"Me1",284.650596644401,2.06242656946633,0.210781792111582,9.78465240666773,1.31044777206647e-22,2.27834449651476e-19
"Mgll",117.157453669555,2.84108084529712,0.29424304660359,9.65555814518424,4.65616762100053e-22,6.74601085489293e-19
"S100g",282.413307257975,-1.42611345658999,0.16160234814017,-8.82483127876959,1.09624957423223e-18,1.36138536411439e-15
"Cyp4a10",54.8870081865175,4.0259611510623,0.482190842785812,8.3493106750072,6.86625118180445e-17,7.46104019042826e-14
"Ptpn6",385.465773980021,1.36508375754438,0.166005904985117,8.22310361590306,1.98303368492572e-16,1.91539020256214e-13
"Retsat",730.374865532143,0.865300054719448,0.115777342646384,7.47382894563673,7.78943823603795e-14,6.53545603628324e-11
"Acaa1b",115.133638325548,1.86828182117701,0.250240226895932,7.46595319366448,8.26987419752855e-14,6.53545603628324e-11
"Etv4",104.413091010443,1.79499888124212,0.242435166798672,7.40403673668664,1.32105852358481e-13,9.56996812126897e-11
"Cst6",486.833212796543,0.948986680092229,0.128601648235494,7.37927307396914,1.59156098174348e-13,1.06426458571508e-10
"Acadl",1033.4339130217,0.745951486454046,0.10582475746173,7.04893168995738,1.80296628515149e-12,1.09964340332456e-09
"Slc5a1",754.683397322204,-0.729491607117634,0.103594201759269,-7.04181889265214,1.89746359713199e-12,1.09964340332456e-09
"Tmem266",270.213062385176,1.13679323585553,0.166405740413714,6.83145445000433,8.40579826347824e-12,4.56697526902602e-09
"Mfsd4",185.6241309486,-1.52251291701446,0.22571541622813,-6.74527660740576,1.52735765096393e-11,7.81018827048793e-09
"Ckb",1254.49982775832,0.603316434577827,0.0902963660759632,6.68151400545043,2.36486172621798e-11,1.14209683255627e-08
"Slit2",129.330501792201,1.8265432891456,0.277583793115094,6.58015105510234,4.69970557220314e-11,2.15023897574536e-08
"Smim24",3071.16774167784,-0.401813435220252,0.0629765636627771,-6.38036456501273,1.76666906386104e-10,7.67882708607201e-08
"Fabp2",4027.49719119535,0.354213984212729,0.0560390995079149,6.32083647530239,2.60151208261225e-10,1.07690212067373e-07
"Mgam",1498.45579759417,-0.443962580519559,0.0703248884167308,-6.31302218197246,2.73638257749724e-10,1.08124426119016e-07
"Gngt2",76.3568487041218,-1.78694869988412,0.283885340973034,-6.29461420501404,3.0816532407193e-10,1.16473094006839e-07
"Ces1f",261.35083775529,1.37590485074876,0.219349698034691,6.27265441017909,3.54944157580658e-10,1.28563731743694e-07
"Acacb",73.5391497616612,1.82070646739526,0.294037722533584,6.19208464719115,5.93736495087814e-10,2.06454054071935e-07
"Phlda2",131.245032537784,1.71847189271768,0.279159263472824,6.15588345999837,7.46601121868623e-10,2.35306604269841e-07
"Id2",418.408314025048,-0.877922588026434,0.142616997890869,-6.15580611715179,7.46965615855564e-10,2.35306604269841e-07
"H2.Q10",208.904798138319,1.13835765817381,0.184993554654142,6.15349902488249,7.57918430870302e-10,2.35306604269841e-07
"Gstm3",469.65862252687,0.776033432987488,0.127256224873688,6.09819624743514,1.07272002101106e-09,3.21557073884452e-07
"Cyp2c66",82.7745329906542,1.75644180507909,0.292854274062822,5.99766491610878,2.00175036469753e-09,5.80040530677188e-07
"Ndrg1",310.521113887004,-1.04300464846868,0.174839581553639,-5.96549499375633,2.43893526701649e-09,6.83924654070139e-07
"Khk",1662.9080217462,-0.438756949376037,0.0738044074515607,-5.94486107979394,2.76691410702512e-09,7.51649510386542e-07
"Cyp2c65",266.323073176125,0.882681228091114,0.149890330239538,5.88884704357185,3.8889916957771e-09,1.02445469125425e-06
"Slc25a20",425.296785100965,0.79232982834659,0.13686409475787,5.78917231541495,7.07341046223711e-09,1.80850462200668e-06
"Acadvl",1534.396141756,0.507639730265368,0.0882845746302641,5.75003880792725,8.92229666517549e-09,2.21604356886773e-06
"Hsdl2",449.133109904482,0.894660870342827,0.157126875783257,5.69387551227669,1.24187646814134e-08,2.99878670487574e-06
"Sh3bgr",80.3878590026017,-1.64892168730358,0.296299084654653,-5.56505832350259,2.62064744376242e-08,6.15710492665587e-06
"AA467197",239.44518395428,-1.33235320788178,0.240503355558998,-5.53985288390266,3.0272584989988e-08,6.92525213994646e-06
"Serinc3",2035.50074156572,-0.376182638413596,0.0682817587384459,-5.509269904054,3.60325056512837e-08,8.031553118631e-06
"Ppargc1a",156.856657787216,-1.13735466079569,0.20802164702038,-5.46748224084708,4.56472925930638e-08,9.9202978627876e-06
"Nptn",426.35822281006,-0.653107827494718,0.120370667641582,-5.42580547479744,5.76937659526997e-08,1.22324855469956e-05
"Ppard",546.426939721311,-0.672117767184158,0.12497359399175,-5.37807824610153,7.52850985558246e-08,1.55822228987091e-05
"Klf10",308.629281134209,-0.782925806602526,0.146586361378785,-5.3410549196962,9.2407253662064e-08,1.86813082810307e-05
"Acsl3",518.27550228178,0.564706566539395,0.107413084746482,5.25733496875381,1.46157951883739e-07,2.88761608119396e-05
"Pfkl",504.778004664605,0.565719322630169,0.108474109113478,5.21524746553441,1.83571996282269e-07,3.54620303040392e-05
"Creb3l3",375.183842431221,2.55202361177527,0.493666718745636,5.16952736506066,2.34686769490294e-07,4.43506975473722e-05
"Fam234a",794.251792660704,-0.526585608566228,0.102107374590239,-5.15717508827777,2.50703355134137e-07,4.63694524719373e-05
"Mlxipl",1107.56663574468,-0.560655709601405,0.109575490478418,-5.11661601653367,3.11065980293929e-07,5.30215013077475e-05
"Sectm1b",76.9055653455242,-1.50306311839363,0.293552868710721,-5.12024673781951,3.05136156524789e-07,5.30215013077475e-05
"Akr1c19",571.688996966239,0.768106620951973,0.150050487942731,5.11898782525208,3.07179788535067e-07,5.30215013077475e-05
"Pdcd4",1587.79215718474,-0.500745126344275,0.0978521714309764,-5.11736345776949,3.09836208996083e-07,5.30215013077475e-05
"Capg",133.092669072527,1.06918760231873,0.211619271098073,5.05241132705359,4.36266913839283e-07,7.29320823462479e-05
"Cgref1",480.623779964145,0.720544880488389,0.143999861649624,5.00378869975305,5.62143735698256e-07,9.22021791400932e-05
