"X","baseMean","LogFC","lfcSE","stat","P.Value","adj.P.Val"
"Fabp1",21.0323485462649,1.6194056568307,0.406432338228696,3.98444096227274,6.76391699080221e-05,0.773656825407956
"Mrpl15",11.5596266752651,0.0530967553353329,0.450572929408405,0.117842755012042,0.906192251944565,0.999721561672215
"Lypla1",5.64289407649557,-0.625332657158842,0.618656217253631,-1.01079184160607,0.312116068693475,0.999721561672215
"Tcea1",5.72529658520652,-0.0248350048101317,0.624592575058118,-0.039761927697941,0.968282929507847,0.999721561672215
"Atp6v1h",3.28921447257962,-0.505362876945592,0.785007377862526,-0.643768315046452,0.519725682965417,0.999721561672215
"Rb1cc1",2.67509465316988,-0.15642678733103,0.85811179745293,-0.182291850310578,0.855353694043185,0.999721561672215
"X4732440D04Rik",0.0816772651438646,0.158545780342938,4.07639201269397,0.0388936539589969,0.968975176149588,0.999721561672215
"Pcmtd1",6.65127977318656,0.333365417431115,0.582759422503625,0.572046378930992,0.56729055452639,0.999721561672215
"Rrs1",3.78980940581286,-0.231214448292005,0.728864695428253,-0.317225473729595,0.751072522121817,0.999721561672215
"Adhfe1",0.207506954078459,0.941352036765717,4.04359952864298,0.23280051105398,0.815916316063293,0.999721561672215
"Vcpip1",1.49725181157975,-0.598339105343458,1.24086711996513,-0.482194342743379,0.629667895277979,0.999721561672215
"Sgk3",0.581221950433932,-1.68500600347438,2.918686627456,-0.577316518883384,0.563725656650792,0.999721561672215
"Snhg6",5.36694017933933,-0.338076818741666,0.632573074957101,-0.534447057779994,0.59303226888778,0.999721561672215
"Cops5",4.36549933283533,0.141497999488125,0.699910089670717,0.202165966138157,0.839786978833724,0.999721561672215
"Cspp1",1.4993771502752,-0.0216628523638844,1.23445654977951,-0.01754849319545,0.985999046815704,0.999721561672215
"Arfgef1",6.80454124893508,-0.132840545352653,0.571659827622161,-0.232376911816958,0.816245279858086,0.999721561672215
"Prdm14",0.200156159196,-1.73692330852662,4.0804728567969,-0.425667163949737,0.670350392050272,0.999721561672215
"Ncoa2",1.62667810690863,0.125010353173192,1.16169326531867,0.107610465606771,0.914304694850206,0.999721561672215
"Tram1",16.5847502595686,0.12796159341633,0.388228046023265,0.329604197138971,0.741699050820525,0.999721561672215
"Lactb2",1.2649458386619,-1.31826656345324,1.49783528731792,-0.880114505656876,0.378797281764697,0.999721561672215
"Xkr9",0.207506954078459,0.941352036765717,4.04359952864298,0.23280051105398,0.815916316063293,0.999721561672215
"Trpa1",0.125829688934595,0.23915287537812,4.07346589545823,0.0587099245496978,0.953183154327871,0.999721561672215
"Terf1",0.852851067902054,0.242237881966731,2.15050817842954,0.112642157977577,0.91031426049507,0.999721561672215
"Rpl7",62.8594830713635,-0.0500705003413584,0.215422053991351,-0.232429778723439,0.816204222069726,0.999721561672215
"Rdh10",0.537069526643202,-1.75407863457805,3.06335141046486,-0.572601180715298,0.566914760087498,0.999721561672215
"Stau2",1.07791312373471,0.609730655938579,1.69602645619395,0.359505391977714,0.719217044851025,0.999721561672215
"Ube2w",2.60064142315106,-1.05193880250727,0.90368160998844,-1.16405910099324,0.244400061636633,0.999721561672215
"Tceb1",12.3336993010955,-0.13977704419144,0.442666419599867,-0.315761571247684,0.752183488552421,0.999721561672215
"Tmem70",4.23699156484325,0.750395216670148,0.732595329830581,1.02429702472125,0.305695002832984,0.999721561672215
"Ly96",1.46935326156253,0.562605673363684,1.32587113062952,0.424329077213227,0.671325836242533,0.999721561672215
"Mcm3",2.73116867071973,-0.276610132258533,0.860690746491252,-0.321381557064695,0.747921257755791,0.999721561672215
"Tmem14a",1.33641879693402,0.204852217064909,1.38377094344069,0.148039108666029,0.882311904014553,0.999721561672215
"Gsta3",0.125829688934595,0.23915287537812,4.07346589545823,0.0587099245496978,0.953183154327871,0.999721561672215
"Ogfrl1",0.163354530287729,0.718795291712753,4.05689922380045,0.177178493243269,0.859368188299771,0.999721561672215
"Smap1",6.69185547254314,0.549932780042176,0.589925824066174,0.932206656510919,0.351229736062066,0.999721561672215
"Sdhaf4",3.19015753861335,-0.386316433711803,0.787098980363806,-0.490810486799568,0.6235604922544,0.999721561672215
"Fam135a",1.9113422315509,0.945652481250637,1.13210924110905,0.835301441691483,0.403548005885402,0.999721561672215
